Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)"
count,165.0
mean,3.4893939393939393
std,2.886357671194027
min,0.5
10%,1.75
25%,2.25
50%,2.75
75%,3.75
95%,8.349999999999966
99%,17.539999999999885
max,23.25
skewness,4.422864020699536
kurtosis,25.06057534408813
