Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-1.2794716004260467,-1.2794716004260467
2024-10-14,4.0,-0.4453344485950058,-0.4453344485950058
2024-10-15,4.0,-0.4453344485950058,-0.4453344485950058
2024-10-16,2.75,-0.7928915951912728,-0.7928915951912728
2024-10-17,4.5,-0.306311589956499,-0.306311589956499
2024-10-18,3.125,-0.6886244512123928,-0.6886244512123928
2024-10-20,1.125,-1.24471588576642,-1.24471588576642
2024-10-21,8.25,0.7363598498323022,0.7363598498323022
2024-10-22,4.5,-0.306311589956499,-0.306311589956499
2024-10-23,3.25,-0.653868736552766,-0.653868736552766
2024-10-24,3.125,-0.6886244512123928,-0.6886244512123928
2024-10-25,5.375,-0.06302158733911202,-0.06302158733911202
2024-10-27,3.375,-0.6191130218931393,-0.6191130218931393
2024-10-28,4.75,-0.23680016063724557,-0.23680016063724557
2024-10-29,6.75,0.31929127391678175,0.31929127391678175
2024-11-03,2.5,-0.8624030245105263,-0.8624030245105263
2024-11-04,4.75,-0.23680016063724557,-0.23680016063724557
2024-11-05,13.0,2.0570770068981172,2.0570770068981172
2024-11-06,6.25,0.18026841527827492,0.18026841527827492
2024-11-07,8.625,0.8406269938111823,0.8406269938111823
2024-11-08,4.875,-0.20204444597761886,-0.20204444597761886
2024-11-10,2.0,-1.001425883149033,-1.001425883149033
2024-11-11,4.125,-0.4105787339353791,-0.4105787339353791
2024-11-12,6.625,0.28453555925715507,0.28453555925715507
2024-11-15,8.25,0.7363598498323022,0.7363598498323022
2024-11-17,1.5,-1.14044874178754,-1.14044874178754
2024-11-18,5.375,-0.06302158733911202,-0.06302158733911202
2024-11-19,5.0,-0.16728873131799216,-0.16728873131799216
2024-11-20,2.75,-0.7928915951912728,-0.7928915951912728
2024-11-21,4.75,-0.23680016063724557,-0.23680016063724557
2024-11-22,3.625,-0.549601592573886,-0.549601592573886
2024-11-24,2.0,-1.001425883149033,-1.001425883149033
2024-11-25,7.125,0.42355841789566184,0.42355841789566184
2024-11-26,3.875,-0.4800901632546325,-0.4800901632546325
2024-11-28,1.875,-1.0361815978086597,-1.0361815978086597
2024-11-29,6.375,0.21502412993790163,0.21502412993790163
2024-12-01,2.125,-0.9666701684894065,-0.9666701684894065
2024-12-02,7.5,0.527825561874542,0.527825561874542
2024-12-03,7.5,0.527825561874542,0.527825561874542
2024-12-04,6.125,0.1455127006186482,0.1455127006186482
2024-12-05,5.375,-0.06302158733911202,-0.06302158733911202
2024-12-08,1.0,-1.2794716004260467,-1.2794716004260467
2024-12-09,6.0,0.1107569859590215,0.1107569859590215
2024-12-10,7.0,0.38880270323603516,0.38880270323603516
2024-12-13,7.875,0.6320927058534221,0.6320927058534221
2024-12-15,1.5,-1.14044874178754,-1.14044874178754
2024-12-16,3.125,-0.6886244512123928,-0.6886244512123928
2024-12-17,4.375,-0.34106730461612567,-0.34106730461612567
2024-12-18,12.625,1.952809862919237,1.952809862919237
2024-12-22,1.25,-1.2099601711067933,-1.2099601711067933
2024-12-23,4.75,-0.23680016063724557,-0.23680016063724557
2024-12-24,2.75,-0.7928915951912728,-0.7928915951912728
2024-12-25,2.0,-1.001425883149033,-1.001425883149033
2024-12-26,4.375,-0.34106730461612567,-0.34106730461612567
2024-12-27,3.375,-0.6191130218931393,-0.6191130218931393
2024-12-29,0.875,-1.3142273150856734,-1.3142273150856734
2024-12-30,6.875,0.35404698857640843,0.35404698857640843
2024-12-31,4.0,-0.4453344485950058,-0.4453344485950058
2025-01-01,2.0,-1.001425883149033,-1.001425883149033
2025-01-02,5.5,-0.02826587267948532,-0.02826587267948532
2025-01-03,4.625,-0.27155587529687225,-0.27155587529687225
2025-01-05,1.875,-1.0361815978086597,-1.0361815978086597
2025-01-06,4.375,-0.34106730461612567,-0.34106730461612567
2025-01-07,5.125,-0.13253301665836545,-0.13253301665836545
2025-01-08,4.625,-0.27155587529687225,-0.27155587529687225
2025-01-09,2.5,-0.8624030245105263,-0.8624030245105263
2025-01-12,2.625,-0.8276473098508996,-0.8276473098508996
2025-01-13,3.0,-0.7233801658720195,-0.7233801658720195
2025-01-16,7.75,0.5973369911937954,0.5973369911937954
2025-01-17,4.751953125,-0.23625710259568888,-0.23625710259568888
2025-01-19,1.25,-1.2099601711067933,-1.2099601711067933
2025-01-20,7.875,0.6320927058534221,0.6320927058534221
2025-01-21,5.25,-0.09777730199873873,-0.09777730199873873
2025-01-22,3.875,-0.4800901632546325,-0.4800901632546325
2025-01-23,3.75,-0.5148458779142592,-0.5148458779142592
2025-01-24,3.5,-0.5843573072335126,-0.5843573072335126
2025-01-26,2.125,-0.9666701684894065,-0.9666701684894065
2025-01-27,7.0,0.38880270323603516,0.38880270323603516
2025-01-28,4.375,-0.34106730461612567,-0.34106730461612567
2025-01-29,6.0,0.1107569859590215,0.1107569859590215
2025-02-02,5.5,-0.02826587267948532,-0.02826587267948532
2025-02-03,4.75,-0.23680016063724557,-0.23680016063724557
2025-02-04,5.75,0.041245556639768095,0.041245556639768095
2025-02-05,6.375,0.21502412993790163,0.21502412993790163
2025-02-06,2.625,-0.8276473098508996,-0.8276473098508996
2025-02-09,1.625,-1.1056930271279133,-1.1056930271279133
2025-02-10,3.75,-0.5148458779142592,-0.5148458779142592
2025-02-11,3.625,-0.549601592573886,-0.549601592573886
2025-02-14,6.625,0.28453555925715507,0.28453555925715507
2025-02-16,1.5,-1.14044874178754,-1.14044874178754
