Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.5,-0.48255124620867107,-0.48255124620867107
2024-11-04,3.5,-0.10047982247532743,-0.10047982247532743
2024-11-05,10.0,2.382984431791406,2.382984431791406
2024-11-06,5.0,0.47262731312468803,0.47262731312468803
2024-11-07,5.5,0.6636630249913599,0.6636630249913599
2024-11-10,3.0,-0.2915155343419993,-0.2915155343419993
2024-11-11,5.25,0.5681451690580239,0.5681451690580239
2024-11-12,4.5,0.28159160125801624,0.28159160125801624
2024-11-17,3.25,-0.19599767840866333,-0.19599767840866333
2024-11-18,7.75,1.5233237283913832,1.5233237283913832
2024-11-19,3.5,-0.10047982247532743,-0.10047982247532743
2024-11-20,3.5,-0.10047982247532743,-0.10047982247532743
2024-11-21,4.25,0.1860737453246803,0.1860737453246803
2024-11-24,3.25,-0.19599767840866333,-0.19599767840866333
2024-11-25,2.5,-0.48255124620867107,-0.48255124620867107
2024-11-26,7.0,1.2367701605913755,1.2367701605913755
2024-12-01,5.5,0.6636630249913599,0.6636630249913599
2024-12-02,4.75,0.37710945719135214,0.37710945719135214
2024-12-03,6.0,0.8546987368580317,0.8546987368580317
2024-12-04,5.25,0.5681451690580239,0.5681451690580239
2024-12-05,4.0,0.09055588939134439,0.09055588939134439
2024-12-08,5.25,0.5681451690580239,0.5681451690580239
2024-12-09,6.0,0.8546987368580317,0.8546987368580317
2024-12-10,2.0,-0.673586958075343,-0.673586958075343
2024-12-15,1.75,-0.7691048140086788,-0.7691048140086788
2024-12-16,3.25,-0.19599767840866333,-0.19599767840866333
2024-12-17,2.75,-0.3870333902753352,-0.3870333902753352
2024-12-18,3.75,-0.00496196654199152,-0.00496196654199152
2024-12-22,3.0,-0.2915155343419993,-0.2915155343419993
2024-12-23,0.5,-1.2466940936753583,-1.2466940936753583
2024-12-25,1.5,-0.8646226699420148,-0.8646226699420148
2024-12-26,3.75,-0.00496196654199152,-0.00496196654199152
2024-12-29,4.0,0.09055588939134439,0.09055588939134439
2024-12-30,1.5,-0.8646226699420148,-0.8646226699420148
2025-01-01,5.25,0.5681451690580239,0.5681451690580239
2025-01-02,2.75,-0.3870333902753352,-0.3870333902753352
2025-01-05,2.25,-0.578069102142007,-0.578069102142007
2025-01-06,2.5,-0.48255124620867107,-0.48255124620867107
2025-01-07,2.25,-0.578069102142007,-0.578069102142007
2025-01-08,2.75,-0.3870333902753352,-0.3870333902753352
2025-01-09,2.25,-0.578069102142007,-0.578069102142007
2025-01-12,2.0,-0.673586958075343,-0.673586958075343
2025-01-13,3.25,-0.19599767840866333,-0.19599767840866333
2025-01-16,2.5,-0.48255124620867107,-0.48255124620867107
2025-01-19,2.5,-0.48255124620867107,-0.48255124620867107
2025-01-20,5.75,0.7591808809246958,0.7591808809246958
2025-01-21,4.5,0.28159160125801624,0.28159160125801624
2025-01-22,3.25,-0.19599767840866333,-0.19599767840866333
2025-01-23,3.5,-0.10047982247532743,-0.10047982247532743
2025-01-26,9.0,2.000913008058063,2.000913008058063
2025-01-27,3.75,-0.00496196654199152,-0.00496196654199152
2025-01-28,1.75,-0.7691048140086788,-0.7691048140086788
2025-01-29,3.25,-0.19599767840866333,-0.19599767840866333
2025-02-02,9.25,2.0964308639913987,2.0964308639913987
2025-02-03,2.25,-0.578069102142007,-0.578069102142007
2025-02-04,2.25,-0.578069102142007,-0.578069102142007
2025-02-05,1.75,-0.7691048140086788,-0.7691048140086788
2025-02-06,2.0,-0.673586958075343,-0.673586958075343
2025-02-09,2.75,-0.3870333902753352,-0.3870333902753352
2025-02-10,1.75,-0.7691048140086788,-0.7691048140086788
2025-02-11,3.0,-0.2915155343419993,-0.2915155343419993
2025-02-16,2.75,-0.3870333902753352,-0.3870333902753352
