Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.8631574390021796,-0.8631574390021796
2024-10-15,7.5,-0.6763154323889028,-0.6763154323889028
2024-10-16,7.0,-0.7697364356955412,-0.7697364356955412
2024-10-17,6.0,-0.9565784423088178,-0.9565784423088178
2024-10-18,6.0,-0.9565784423088178,-0.9565784423088178
2024-10-21,10.0,-0.20921041585571107,-0.20921041585571107
2024-10-22,5.5,-1.0499994456154562,-1.0499994456154562
2024-10-23,9.0,-0.3960524224689878,-0.3960524224689878
2024-10-24,15.0,0.7249996172106724,0.7249996172106724
2024-10-25,9.5,-0.3026314191623494,-0.3026314191623494
2024-10-28,11.5,0.07105259406420397,0.07105259406420397
2024-10-29,14.5,0.631578613904034,0.631578613904034
2024-11-04,15.0,0.7249996172106724,0.7249996172106724
2024-11-05,17.5,1.192104633743864,1.192104633743864
2024-11-06,17.0,1.0986836304372258,1.0986836304372258
2024-11-07,7.5,-0.6763154323889028,-0.6763154323889028
2024-11-08,12.0,0.16447359737084233,0.16447359737084233
2024-11-11,6.5,-0.8631574390021796,-0.8631574390021796
2024-11-12,9.5,-0.3026314191623494,-0.3026314191623494
2024-11-15,17.5,1.192104633743864,1.192104633743864
2024-11-18,15.0,0.7249996172106724,0.7249996172106724
2024-11-19,7.0,-0.7697364356955412,-0.7697364356955412
2024-11-20,9.0,-0.3960524224689878,-0.3960524224689878
2024-11-21,14.5,0.631578613904034,0.631578613904034
2024-11-22,8.0,-0.5828944290822645,-0.5828944290822645
2024-11-25,11.0,-0.02236840924243438,-0.02236840924243438
2024-11-26,7.0,-0.7697364356955412,-0.7697364356955412
2024-11-28,4.0,-1.3302624555353713,-1.3302624555353713
2024-11-29,10.0,-0.20921041585571107,-0.20921041585571107
2024-12-02,17.0,1.0986836304372258,1.0986836304372258
2024-12-03,10.5,-0.11578941254907273,-0.11578941254907273
2024-12-04,15.0,0.7249996172106724,0.7249996172106724
2024-12-05,10.0,-0.20921041585571107,-0.20921041585571107
2024-12-09,6.0,-0.9565784423088178,-0.9565784423088178
2024-12-10,6.5,-0.8631574390021796,-0.8631574390021796
2024-12-13,10.0,-0.20921041585571107,-0.20921041585571107
2024-12-16,7.5,-0.6763154323889028,-0.6763154323889028
2024-12-17,7.0,-0.7697364356955412,-0.7697364356955412
2024-12-18,22.5,2.1263146668102477,2.1263146668102477
2024-12-23,9.5,-0.3026314191623494,-0.3026314191623494
2024-12-24,12.0,0.16447359737084233,0.16447359737084233
2024-12-26,12.5,0.25789460067748066,0.25789460067748066
2024-12-27,9.0,-0.3960524224689878,-0.3960524224689878
2024-12-30,5.5,-1.0499994456154562,-1.0499994456154562
2024-12-31,14.5,0.631578613904034,0.631578613904034
2025-01-02,15.0,0.7249996172106724,0.7249996172106724
2025-01-03,6.5,-0.8631574390021796,-0.8631574390021796
2025-01-06,9.0,-0.3960524224689878,-0.3960524224689878
2025-01-07,5.5,-1.0499994456154562,-1.0499994456154562
2025-01-08,7.0,-0.7697364356955412,-0.7697364356955412
2025-01-09,5.0,-1.1434204489220945,-1.1434204489220945
2025-01-13,9.0,-0.3960524224689878,-0.3960524224689878
2025-01-16,17.5,1.192104633743864,1.192104633743864
2025-01-17,7.0,-0.7697364356955412,-0.7697364356955412
2025-01-20,4.5,-1.236841452228733,-1.236841452228733
2025-01-21,8.5,-0.48947342577562614,-0.48947342577562614
2025-01-22,10.0,-0.20921041585571107,-0.20921041585571107
2025-01-23,6.0,-0.9565784423088178,-0.9565784423088178
2025-01-24,6.0,-0.9565784423088178,-0.9565784423088178
2025-01-27,8.0,-0.5828944290822645,-0.5828944290822645
2025-01-28,7.0,-0.7697364356955412,-0.7697364356955412
2025-01-29,15.0,0.7249996172106724,0.7249996172106724
2025-02-03,13.5,0.44473660729075737,0.44473660729075737
2025-02-04,8.0,-0.5828944290822645,-0.5828944290822645
2025-02-05,9.0,-0.3960524224689878,-0.3960524224689878
2025-02-06,10.0,-0.20921041585571107,-0.20921041585571107
2025-02-10,9.5,-0.3026314191623494,-0.3026314191623494
2025-02-11,5.0,-1.1434204489220945,-1.1434204489220945
2025-02-14,8.0,-0.5828944290822645,-0.5828944290822645
2025-02-17,2.0,-1.7039464687619248,-1.7039464687619248
2025-02-18,8.0,-0.5828944290822645,-0.5828944290822645
2025-02-19,6.5,-0.8631574390021796,-0.8631574390021796
2025-02-20,3.0,-1.517104462148648,-1.517104462148648
2025-02-21,12.5,0.25789460067748066,0.25789460067748066
2025-02-24,7.0,-0.7697364356955412,-0.7697364356955412
2025-02-25,6.5,-0.8631574390021796,-0.8631574390021796
2025-02-26,17.5,1.192104633743864,1.192104633743864
2025-03-03,11.5,0.07105259406420397,0.07105259406420397
2025-03-04,25.0,2.5934196833434395,2.5934196833434395
2025-03-05,12.5,0.25789460067748066,0.25789460067748066
2025-03-06,15.5,0.8184206205173108,0.8184206205173108
2025-03-10,10.0,-0.20921041585571107,-0.20921041585571107
2025-03-11,23.5,2.3131566734235243,2.3131566734235243
2025-03-14,10.5,-0.11578941254907273,-0.11578941254907273
2025-03-17,12.5,0.25789460067748066,0.25789460067748066
2025-03-18,16.0,0.9118416238239492,0.9118416238239492
2025-03-19,12.5,0.25789460067748066,0.25789460067748066
2025-03-20,14.5,0.631578613904034,0.631578613904034
2025-03-21,9.5,-0.3026314191623494,-0.3026314191623494
2025-03-24,6.0,-0.9565784423088178,-0.9565784423088178
