Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,5.5,-0.8794088720252353,-0.8794088720252353
2024-10-15,8.5,-0.17026149214022407,-0.17026149214022407
2024-10-16,5.5,-0.8794088720252353,-0.8794088720252353
2024-10-17,15.5,1.484415727591469,1.484415727591469
2024-10-18,10.0,0.18431219780228156,0.18431219780228156
2024-10-21,6.0,-0.7612176420444001,-0.7612176420444001
2024-10-22,10.5,0.30250342778311673,0.30250342778311673
2024-10-23,7.5,-0.40664395210189447,-0.40664395210189447
2024-10-24,9.5,0.06612096782144634,0.06612096782144634
2024-10-25,8.0,-0.28845272212105927,-0.28845272212105927
2024-10-28,8.5,-0.17026149214022407,-0.17026149214022407
2024-10-29,9.0,-0.05207026215938887,-0.05207026215938887
2024-11-04,7.0,-0.5248351820827297,-0.5248351820827297
2024-11-05,5.5,-0.8794088720252353,-0.8794088720252353
2024-11-06,12.5,0.7752683477064576,0.7752683477064576
2024-11-07,19.0,2.311754337457315,2.311754337457315
2024-11-08,11.5,0.5388858877447872,0.5388858877447872
2024-11-11,10.0,0.18431219780228156,0.18431219780228156
2024-11-12,9.0,-0.05207026215938887,-0.05207026215938887
2024-11-15,18.0,2.0753718774956447,2.0753718774956447
2024-11-18,11.0,0.42069465776395193,0.42069465776395193
2024-11-19,10.5,0.30250342778311673,0.30250342778311673
2024-11-20,6.5,-0.6430264120635649,-0.6430264120635649
2024-11-21,9.0,-0.05207026215938887,-0.05207026215938887
2024-11-22,7.0,-0.5248351820827297,-0.5248351820827297
2024-11-25,17.0,1.8389894175339745,1.8389894175339745
2024-11-26,6.0,-0.7612176420444001,-0.7612176420444001
2024-11-28,4.0,-1.233982561967741,-1.233982561967741
2024-11-29,7.5,-0.40664395210189447,-0.40664395210189447
2024-12-02,14.0,1.1298420376489633,1.1298420376489633
2024-12-03,15.5,1.484415727591469,1.484415727591469
2024-12-04,2.0,-1.7067474818910817,-1.7067474818910817
2024-12-05,8.5,-0.17026149214022407,-0.17026149214022407
2024-12-09,6.0,-0.7612176420444001,-0.7612176420444001
2024-12-10,8.0,-0.28845272212105927,-0.28845272212105927
2024-12-13,7.0,-0.5248351820827297,-0.5248351820827297
2024-12-16,3.5,-1.3521737919485761,-1.3521737919485761
2024-12-17,12.0,0.6570771177256224,0.6570771177256224
2024-12-18,8.0,-0.28845272212105927,-0.28845272212105927
2024-12-23,6.0,-0.7612176420444001,-0.7612176420444001
2024-12-24,2.0,-1.7067474818910817,-1.7067474818910817
2024-12-26,5.5,-0.8794088720252353,-0.8794088720252353
2024-12-27,5.5,-0.8794088720252353,-0.8794088720252353
2024-12-30,8.5,-0.17026149214022407,-0.17026149214022407
2024-12-31,7.5,-0.40664395210189447,-0.40664395210189447
2025-01-02,10.5,0.30250342778311673,0.30250342778311673
2025-01-03,7.0,-0.5248351820827297,-0.5248351820827297
2025-01-06,7.5,-0.40664395210189447,-0.40664395210189447
2025-01-07,4.5,-1.1157913319869057,-1.1157913319869057
2025-01-08,8.5,-0.17026149214022407,-0.17026149214022407
2025-01-09,6.5,-0.6430264120635649,-0.6430264120635649
2025-01-13,6.0,-0.7612176420444001,-0.7612176420444001
2025-01-16,8.0,-0.28845272212105927,-0.28845272212105927
2025-01-17,9.0,-0.05207026215938887,-0.05207026215938887
2025-01-20,14.0,1.1298420376489633,1.1298420376489633
2025-01-21,8.0,-0.28845272212105927,-0.28845272212105927
2025-01-22,6.5,-0.6430264120635649,-0.6430264120635649
2025-01-23,10.5,0.30250342778311673,0.30250342778311673
2025-01-24,3.0,-1.4703650219294113,-1.4703650219294113
2025-01-27,10.5,0.30250342778311673,0.30250342778311673
2025-01-28,4.5,-1.1157913319869057,-1.1157913319869057
2025-01-29,7.0,-0.5248351820827297,-0.5248351820827297
2025-02-03,11.5,0.5388858877447872,0.5388858877447872
2025-02-04,6.0,-0.7612176420444001,-0.7612176420444001
2025-02-05,5.0,-0.9976001020060705,-0.9976001020060705
2025-02-06,10.5,0.30250342778311673,0.30250342778311673
2025-02-10,7.0,-0.5248351820827297,-0.5248351820827297
2025-02-11,3.0,-1.4703650219294113,-1.4703650219294113
2025-02-14,15.5,1.484415727591469,1.484415727591469
2025-02-17,2.5,-1.5885562519102465,-1.5885562519102465
2025-02-18,5.0,-0.9976001020060705,-0.9976001020060705
2025-02-19,6.0,-0.7612176420444001,-0.7612176420444001
2025-02-20,7.5,-0.40664395210189447,-0.40664395210189447
2025-02-21,5.0,-0.9976001020060705,-0.9976001020060705
2025-02-24,10.5,0.30250342778311673,0.30250342778311673
2025-02-25,11.0,0.42069465776395193,0.42069465776395193
2025-02-26,11.5,0.5388858877447872,0.5388858877447872
2025-03-03,13.0,0.8934595776872928,0.8934595776872928
2025-03-04,10.5,0.30250342778311673,0.30250342778311673
2025-03-05,13.0,0.8934595776872928,0.8934595776872928
2025-03-06,12.5,0.7752683477064576,0.7752683477064576
2025-03-10,6.0,-0.7612176420444001,-0.7612176420444001
2025-03-11,7.0,-0.5248351820827297,-0.5248351820827297
2025-03-14,8.5,-0.17026149214022407,-0.17026149214022407
2025-03-17,15.0,1.3662244976106337,1.3662244976106337
2025-03-18,9.5,0.06612096782144634,0.06612096782144634
2025-03-19,10.5,0.30250342778311673,0.30250342778311673
2025-03-20,9.0,-0.05207026215938887,-0.05207026215938887
