Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.5,-0.7840172974798099,-0.7840172974798099
2024-10-15,3.5,-0.4985327380714008,-0.4985327380714008
2024-10-16,3.0,-0.6412750177756054,-0.6412750177756054
2024-10-17,3.5,-0.4985327380714008,-0.4985327380714008
2024-10-18,3.5,-0.4985327380714008,-0.4985327380714008
2024-10-21,4.5,-0.2130481786629918,-0.2130481786629918
2024-10-22,3.0,-0.6412750177756054,-0.6412750177756054
2024-10-23,4.0,-0.3557904583671963,-0.3557904583671963
2024-10-24,4.0,-0.3557904583671963,-0.3557904583671963
2024-10-25,4.0,-0.3557904583671963,-0.3557904583671963
2024-10-28,4.0,-0.3557904583671963,-0.3557904583671963
2024-10-29,7.0,0.5006632198580308,0.5006632198580308
2024-11-04,7.5,0.6434054995622353,0.6434054995622353
2024-11-05,5.0,-0.07030589895878728,-0.07030589895878728
2024-11-06,5.5,0.07243638074541724,0.07243638074541724
2024-11-07,7.5,0.6434054995622353,0.6434054995622353
2024-11-08,6.5,0.35792094015382625,0.35792094015382625
2024-11-11,4.5,-0.2130481786629918,-0.2130481786629918
2024-11-12,7.0,0.5006632198580308,0.5006632198580308
2024-11-15,5.5,0.07243638074541724,0.07243638074541724
2024-11-18,2.5,-0.7840172974798099,-0.7840172974798099
2024-11-19,4.5,-0.2130481786629918,-0.2130481786629918
2024-11-20,3.5,-0.4985327380714008,-0.4985327380714008
2024-11-21,4.0,-0.3557904583671963,-0.3557904583671963
2024-11-22,3.5,-0.4985327380714008,-0.4985327380714008
2024-11-25,4.0,-0.3557904583671963,-0.3557904583671963
2024-11-26,5.0,-0.07030589895878728,-0.07030589895878728
2024-12-02,5.5,0.07243638074541724,0.07243638074541724
2024-12-03,6.5,0.35792094015382625,0.35792094015382625
2024-12-04,3.0,-0.6412750177756054,-0.6412750177756054
2024-12-05,5.5,0.07243638074541724,0.07243638074541724
2024-12-09,3.0,-0.6412750177756054,-0.6412750177756054
2024-12-10,4.0,-0.3557904583671963,-0.3557904583671963
2024-12-13,3.5,-0.4985327380714008,-0.4985327380714008
2024-12-16,3.5,-0.4985327380714008,-0.4985327380714008
2024-12-17,4.0,-0.3557904583671963,-0.3557904583671963
2024-12-18,9.5,1.2143746183790534,1.2143746183790534
2024-12-23,3.5,-0.4985327380714008,-0.4985327380714008
2024-12-26,3.0,-0.6412750177756054,-0.6412750177756054
2024-12-27,4.0,-0.3557904583671963,-0.3557904583671963
2024-12-30,5.0,-0.07030589895878728,-0.07030589895878728
2024-12-31,2.5,-0.7840172974798099,-0.7840172974798099
2025-01-02,4.5,-0.2130481786629918,-0.2130481786629918
2025-01-03,2.0,-0.9267595771840144,-0.9267595771840144
2025-01-06,5.5,0.07243638074541724,0.07243638074541724
2025-01-07,4.0,-0.3557904583671963,-0.3557904583671963
2025-01-08,8.5,0.9288900589706444,0.9288900589706444
2025-01-13,6.0,0.21517866044962175,0.21517866044962175
2025-01-16,4.0,-0.3557904583671963,-0.3557904583671963
2025-01-17,4.5,-0.2130481786629918,-0.2130481786629918
2025-01-21,5.0,-0.07030589895878728,-0.07030589895878728
2025-01-22,5.0,-0.07030589895878728,-0.07030589895878728
2025-01-23,3.0,-0.6412750177756054,-0.6412750177756054
2025-01-24,3.0,-0.6412750177756054,-0.6412750177756054
2025-01-27,3.5,-0.4985327380714008,-0.4985327380714008
2025-01-28,4.0,-0.3557904583671963,-0.3557904583671963
2025-01-29,6.0,0.21517866044962175,0.21517866044962175
2025-02-03,8.5,0.9288900589706444,0.9288900589706444
2025-02-04,3.0,-0.6412750177756054,-0.6412750177756054
2025-02-05,3.0,-0.6412750177756054,-0.6412750177756054
2025-02-06,2.5,-0.7840172974798099,-0.7840172974798099
2025-02-10,3.5,-0.4985327380714008,-0.4985327380714008
2025-02-11,1.5,-1.0695018568882189,-1.0695018568882189
2025-02-14,2.0,-0.9267595771840144,-0.9267595771840144
2025-02-18,4.0,-0.3557904583671963,-0.3557904583671963
2025-02-19,2.5,-0.7840172974798099,-0.7840172974798099
2025-02-20,2.5,-0.7840172974798099,-0.7840172974798099
2025-02-21,4.5,-0.2130481786629918,-0.2130481786629918
2025-02-24,3.5,-0.4985327380714008,-0.4985327380714008
2025-02-25,4.0,-0.3557904583671963,-0.3557904583671963
2025-02-26,7.0,0.5006632198580308,0.5006632198580308
2025-03-03,10.0,1.3571168980832577,1.3571168980832577
2025-03-04,12.0,1.928086016900076,1.928086016900076
2025-03-05,7.0,0.5006632198580308,0.5006632198580308
2025-03-06,4.0,-0.3557904583671963,-0.3557904583671963
2025-03-10,8.0,0.7861477792664398,0.7861477792664398
2025-03-11,3.5,-0.4985327380714008,-0.4985327380714008
2025-03-14,7.0,0.5006632198580308,0.5006632198580308
2025-03-17,7.0,0.5006632198580308,0.5006632198580308
2025-03-18,4.0,-0.3557904583671963,-0.3557904583671963
2025-03-19,8.5,0.9288900589706444,0.9288900589706444
2025-03-20,2.5,-0.7840172974798099,-0.7840172974798099
2025-03-21,2.5,-0.7840172974798099,-0.7840172974798099
2025-03-24,3.0,-0.6412750177756054,-0.6412750177756054
2025-03-25,2.5,-0.7840172974798099,-0.7840172974798099
2025-03-26,5.0,-0.07030589895878728,-0.07030589895878728
2025-03-31,9.5,1.2143746183790534,1.2143746183790534
2025-04-01,4.0,-0.3557904583671963,-0.3557904583671963
2025-04-02,23.5,5.21115845009678,5.21115845009678
2025-04-03,6.0,0.21517866044962175,0.21517866044962175
2025-04-04,8.5,0.9288900589706444,0.9288900589706444
2025-04-07,18.5,3.783735653054735,3.783735653054735
2025-04-08,17.5,3.498251093646326,3.498251093646326
2025-04-09,20.0,4.211962492167348,4.211962492167348
2025-04-14,7.5,0.6434054995622353,0.6434054995622353
2025-04-15,4.0,-0.3557904583671963,-0.3557904583671963
2025-04-16,5.0,-0.07030589895878728,-0.07030589895878728
2025-04-17,4.0,-0.3557904583671963,-0.3557904583671963
2025-04-21,4.5,-0.2130481786629918,-0.2130481786629918
2025-04-22,3.0,-0.6412750177756054,-0.6412750177756054
2025-04-23,3.5,-0.4985327380714008,-0.4985327380714008
2025-04-24,2.0,-0.9267595771840144,-0.9267595771840144
2025-04-25,9.5,1.2143746183790534,1.2143746183790534
2025-04-28,4.0,-0.3557904583671963,-0.3557904583671963
2025-04-29,4.0,-0.3557904583671963,-0.3557904583671963
2025-05-01,7.0,0.5006632198580308,0.5006632198580308
2025-05-05,3.5,-0.4985327380714008,-0.4985327380714008
2025-05-06,4.0,-0.3557904583671963,-0.3557904583671963
2025-05-07,5.0,-0.07030589895878728,-0.07030589895878728
2025-05-08,6.5,0.35792094015382625,0.35792094015382625
2025-05-09,3.0,-0.6412750177756054,-0.6412750177756054
2025-05-12,5.5,0.07243638074541724,0.07243638074541724
2025-05-14,3.0,-0.6412750177756054,-0.6412750177756054
2025-05-16,16.0,3.0700242545337124,3.0700242545337124
2025-05-19,8.5,0.9288900589706444,0.9288900589706444
2025-05-20,4.0,-0.3557904583671963,-0.3557904583671963
2025-05-21,4.0,-0.3557904583671963,-0.3557904583671963
2025-05-22,5.5,0.07243638074541724,0.07243638074541724
2025-05-23,3.5,-0.4985327380714008,-0.4985327380714008
2025-05-27,6.0,0.21517866044962175,0.21517866044962175
2025-05-28,9.5,1.2143746183790534,1.2143746183790534
2025-06-02,13.5,2.3563128560126896,2.3563128560126896
2025-06-03,2.5,-0.7840172974798099,-0.7840172974798099
2025-06-04,3.0,-0.6412750177756054,-0.6412750177756054
2025-06-05,2.5,-0.7840172974798099,-0.7840172974798099
2025-06-09,4.5,-0.2130481786629918,-0.2130481786629918
2025-06-10,3.5,-0.4985327380714008,-0.4985327380714008
2025-06-13,5.0,-0.07030589895878728,-0.07030589895878728
2025-06-16,3.5,-0.4985327380714008,-0.4985327380714008
2025-06-17,3.0,-0.6412750177756054,-0.6412750177756054
2025-06-18,5.0,-0.07030589895878728,-0.07030589895878728
2025-06-20,3.0,-0.6412750177756054,-0.6412750177756054
2025-06-23,5.0,-0.07030589895878728,-0.07030589895878728
2025-06-24,0.5,-1.3549864162966279,-1.3549864162966279
