Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZN)"
count,190.0
mean,8.380294639185857
std,5.021213762789983
min,1.0
10%,3.25
25%,5.25
50%,7.5
75%,10.25
95%,17.137499999999996
99%,26.4924999999999
max,38.25
skewness,2.236526657296913
kurtosis,9.038138852495827
