Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-26,0.375,-0.5778303780935247,-0.5778303780935247
2024-11-28,0.5,-0.4777591881392765,-0.4777591881392765
2024-12-01,3.875,2.224162940625424,2.224162940625424
2024-12-02,3.6875,2.074056155694052,2.074056155694052
2024-12-03,0.6875,-0.32765240320790423,-0.32765240320790423
2024-12-04,0.5625,-0.4277235931621524,-0.4277235931621524
2024-12-05,0.4375,-0.5277947831164006,-0.5277947831164006
2024-12-09,0.375,-0.5778303780935247,-0.5778303780935247
2024-12-10,0.5625,-0.4277235931621524,-0.4277235931621524
2024-12-15,0.4375,-0.5277947831164006,-0.5277947831164006
2024-12-16,0.5,-0.4777591881392765,-0.4777591881392765
2024-12-17,0.4375,-0.5277947831164006,-0.5277947831164006
2024-12-18,0.9375,-0.1275100232994079,-0.1275100232994079
2024-12-22,0.4375,-0.5277947831164006,-0.5277947831164006
2024-12-23,0.375,-0.5778303780935247,-0.5778303780935247
2024-12-25,0.75,-0.27761680823078017,-0.27761680823078017
2024-12-26,0.4375,-0.5277947831164006,-0.5277947831164006
2024-12-29,0.375,-0.5778303780935247,-0.5778303780935247
2024-12-30,0.4375,-0.5277947831164006,-0.5277947831164006
2025-01-01,0.8125,-0.22758121325365607,-0.22758121325365607
2025-01-02,0.4375,-0.5277947831164006,-0.5277947831164006
2025-01-05,0.5625,-0.4277235931621524,-0.4277235931621524
2025-01-06,0.6875,-0.32765240320790423,-0.32765240320790423
2025-01-07,0.4375,-0.5277947831164006,-0.5277947831164006
2025-01-08,0.6875,-0.32765240320790423,-0.32765240320790423
2025-01-09,0.625,-0.37768799818502835,-0.37768799818502835
2025-01-12,1.0,-0.07747442832228381,-0.07747442832228381
2025-01-13,0.5625,-0.4277235931621524,-0.4277235931621524
2025-01-16,0.375,-0.5778303780935247,-0.5778303780935247
2025-01-19,0.6875,-0.32765240320790423,-0.32765240320790423
2025-01-20,1.0625,-0.02743883334515973,-0.02743883334515973
2025-01-21,0.5625,-0.4277235931621524,-0.4277235931621524
2025-01-22,0.375,-0.5778303780935247,-0.5778303780935247
2025-01-23,1.0625,-0.02743883334515973,-0.02743883334515973
2025-01-26,0.6875,-0.32765240320790423,-0.32765240320790423
2025-01-27,0.75,-0.27761680823078017,-0.27761680823078017
2025-01-28,0.5,-0.4777591881392765,-0.4777591881392765
2025-01-29,0.375,-0.5778303780935247,-0.5778303780935247
2025-02-02,1.5625,0.37284592647183296,0.37284592647183296
2025-02-03,0.375,-0.5778303780935247,-0.5778303780935247
2025-02-04,0.4375,-0.5277947831164006,-0.5277947831164006
2025-02-05,0.5,-0.4777591881392765,-0.4777591881392765
2025-02-06,0.4375,-0.5277947831164006,-0.5277947831164006
2025-02-09,0.5625,-0.4277235931621524,-0.4277235931621524
2025-02-10,0.375,-0.5778303780935247,-0.5778303780935247
2025-02-11,0.4375,-0.5277947831164006,-0.5277947831164006
2025-02-16,0.4375,-0.5277947831164006,-0.5277947831164006
2025-02-17,0.5,-0.4777591881392765,-0.4777591881392765
2025-02-18,0.3125,-0.6278659730706487,-0.6278659730706487
2025-02-19,0.5625,-0.4277235931621524,-0.4277235931621524
2025-02-20,0.6875,-0.32765240320790423,-0.32765240320790423
2025-02-23,0.5,-0.4777591881392765,-0.4777591881392765
2025-02-24,0.8125,-0.22758121325365607,-0.22758121325365607
2025-02-25,1.1875,0.07263235660908844,0.07263235660908844
2025-02-26,4.4375,2.6744832954195408,2.6744832954195408
2025-03-02,4.8125,2.9746968652822856,2.9746968652822856
2025-03-03,6.0625,3.975408764824767,3.975408764824767
2025-03-04,4.875,3.0247324602594095,3.0247324602594095
2025-03-05,5.0,3.1248036502136576,3.1248036502136576
2025-03-06,0.9375,-0.1275100232994079,-0.1275100232994079
2025-03-09,1.25,0.12266795158621253,0.12266795158621253
2025-03-10,1.8125,0.5729883063803293,0.5729883063803293
2025-03-11,0.625,-0.37768799818502835,-0.37768799818502835
2025-03-16,2.6875,1.2734866360600665,1.2734866360600665
2025-03-17,0.6875,-0.32765240320790423,-0.32765240320790423
2025-03-18,0.3125,-0.6278659730706487,-0.6278659730706487
2025-03-19,0.5,-0.4777591881392765,-0.4777591881392765
2025-03-20,0.4375,-0.5277947831164006,-0.5277947831164006
2025-03-23,0.8125,-0.22758121325365607,-0.22758121325365607
2025-03-24,0.5625,-0.4277235931621524,-0.4277235931621524
2025-03-25,0.4375,-0.5277947831164006,-0.5277947831164006
2025-03-26,0.8125,-0.22758121325365607,-0.22758121325365607
2025-03-30,1.625,0.422881521448957,0.422881521448957
2025-03-31,0.4375,-0.5277947831164006,-0.5277947831164006
2025-04-01,0.875,-0.17754561827653198,-0.17754561827653198
2025-04-02,2.5625,1.1734154461058184,1.1734154461058184
2025-04-03,2.625,1.2234510410829424,1.2234510410829424
2025-04-06,7.8125,5.376405424184241,5.376405424184241
2025-04-07,2.8125,1.3735578260143146,1.3735578260143146
2025-04-08,3.6875,2.074056155694052,2.074056155694052
2025-04-09,2.5625,1.1734154461058184,1.1734154461058184
2025-04-13,2.8125,1.3735578260143146,1.3735578260143146
2025-04-14,0.875,-0.17754561827653198,-0.17754561827653198
2025-04-15,1.375,0.2227391415404607,0.2227391415404607
2025-04-16,1.5,0.3228103314947089,0.3228103314947089
2025-04-20,1.625,0.422881521448957,0.422881521448957
2025-04-21,0.8125,-0.22758121325365607,-0.22758121325365607
2025-04-22,1.5625,0.37284592647183296,0.37284592647183296
2025-04-23,1.0625,-0.02743883334515973,-0.02743883334515973
2025-04-24,0.875,-0.17754561827653198,-0.17754561827653198
2025-04-27,0.625,-0.37768799818502835,-0.37768799818502835
2025-04-28,0.625,-0.37768799818502835,-0.37768799818502835
2025-04-29,0.8125,-0.22758121325365607,-0.22758121325365607
2025-05-01,1.25,0.12266795158621253,0.12266795158621253
2025-05-04,0.8125,-0.22758121325365607,-0.22758121325365607
2025-05-05,0.5,-0.4777591881392765,-0.4777591881392765
2025-05-06,1.25,0.12266795158621253,0.12266795158621253
2025-05-07,0.875,-0.17754561827653198,-0.17754561827653198
2025-05-08,0.4375,-0.5277947831164006,-0.5277947831164006
2025-05-11,0.75,-0.27761680823078017,-0.27761680823078017
2025-05-12,0.9375,-0.1275100232994079,-0.1275100232994079
2025-05-14,0.3125,-0.6278659730706487,-0.6278659730706487
2025-05-18,1.625,0.422881521448957,0.422881521448957
2025-05-19,0.625,-0.37768799818502835,-0.37768799818502835
2025-05-20,1.0,-0.07747442832228381,-0.07747442832228381
2025-05-21,0.625,-0.37768799818502835,-0.37768799818502835
2025-05-22,0.5625,-0.4277235931621524,-0.4277235931621524
2025-05-25,1.0625,-0.02743883334515973,-0.02743883334515973
2025-05-26,0.5625,-0.4277235931621524,-0.4277235931621524
2025-05-27,0.5,-0.4777591881392765,-0.4777591881392765
2025-05-28,6.3125,4.175551144733263,4.175551144733263
2025-06-01,0.6875,-0.32765240320790423,-0.32765240320790423
2025-06-02,0.375,-0.5778303780935247,-0.5778303780935247
2025-06-03,0.375,-0.5778303780935247,-0.5778303780935247
2025-06-04,0.5625,-0.4277235931621524,-0.4277235931621524
2025-06-05,0.3125,-0.6278659730706487,-0.6278659730706487
2025-06-08,3.625,2.0240205607169277,2.0240205607169277
2025-06-09,0.625,-0.37768799818502835,-0.37768799818502835
2025-06-10,0.625,-0.37768799818502835,-0.37768799818502835
2025-06-15,1.25,0.12266795158621253,0.12266795158621253
2025-06-16,1.1875,0.07263235660908844,0.07263235660908844
2025-06-17,0.6875,-0.32765240320790423,-0.32765240320790423
2025-06-18,0.6875,-0.32765240320790423,-0.32765240320790423
2025-06-19,0.5,-0.4777591881392765,-0.4777591881392765
2025-06-22,1.3125,0.1727035465633366,0.1727035465633366
2025-06-23,0.8125,-0.22758121325365607,-0.22758121325365607
2025-06-24,0.125,-0.777972758002021,-0.777972758002021
