Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,5.75,0.4587725937231327,0.4587725937231327
2022-12-21,4.75,0.08553711381537742,0.08553711381537742
2022-12-27,3.75,-0.28769836609237787,-0.28769836609237787
2022-12-28,3.25,-0.4743161060462555,-0.4743161060462555
2022-12-29,4.75,0.08553711381537742,0.08553711381537742
2022-12-30,3.75,-0.28769836609237787,-0.28769836609237787
2023-01-03,8.5,1.4851701634694598,1.4851701634694598
2023-01-04,6.25,0.6453903336770104,0.6453903336770104
2023-01-05,3.75,-0.28769836609237787,-0.28769836609237787
2023-01-09,5.25,0.2721548537692551,0.2721548537692551
2023-01-10,4.75,0.08553711381537742,0.08553711381537742
2023-01-11,3.75,-0.28769836609237787,-0.28769836609237787
2023-01-13,6.75,0.832008073630888,0.832008073630888
2023-01-17,3.0,-0.5676249760231944,-0.5676249760231944
2023-01-19,8.0,1.298552423515582,1.298552423515582
2023-01-20,4.5,-0.007771756161561408,-0.007771756161561408
2023-01-23,5.0,0.17884598379231623,0.17884598379231623
2023-01-24,3.75,-0.28769836609237787,-0.28769836609237787
2023-01-25,5.0,0.17884598379231623,0.17884598379231623
2023-01-30,8.0,1.298552423515582,1.298552423515582
2023-01-31,4.25,-0.10108062613850023,-0.10108062613850023
2023-02-01,5.75,0.4587725937231327,0.4587725937231327
2023-02-02,4.0,-0.19438949611543904,-0.19438949611543904
2023-02-06,10.0,2.0450233833310927,2.0450233833310927
2023-02-07,4.5,-0.007771756161561408,-0.007771756161561408
2023-02-08,3.25,-0.4743161060462555,-0.4743161060462555
2023-02-09,5.25,0.2721548537692551,0.2721548537692551
2023-02-10,7.0,0.9253169436078268,0.9253169436078268
2023-02-13,2.75,-0.6609338460001332,-0.6609338460001332
2023-02-15,3.75,-0.28769836609237787,-0.28769836609237787
2023-02-17,5.0,0.17884598379231623,0.17884598379231623
2023-02-21,4.75,0.08553711381537742,0.08553711381537742
2023-02-22,5.0,0.17884598379231623,0.17884598379231623
2023-02-27,10.0,2.0450233833310927,2.0450233833310927
2023-02-28,11.75,2.6981854731696644,2.6981854731696644
2023-03-01,12.5,2.978112083100481,2.978112083100481
2023-03-02,11.0,2.418258863238848,2.418258863238848
2023-03-03,12.0,2.7914943431466033,2.7914943431466033
2023-03-06,10.5,2.2316411232849704,2.2316411232849704
2023-03-07,4.25,-0.10108062613850023,-0.10108062613850023
2023-03-08,4.25,-0.10108062613850023,-0.10108062613850023
2023-03-09,3.5,-0.3810072360693167,-0.3810072360693167
2023-03-13,28.25,8.856570891647626,8.856570891647626
2023-03-16,8.75,1.5784790334463985,1.5784790334463985
2023-03-17,7.75,1.2052435535386432,1.2052435535386432
2023-03-20,21.75,6.4305402722472165,6.4305402722472165
2023-03-21,14.25,3.6312741729390527,3.6312741729390527
2023-03-22,5.25,0.2721548537692551,0.2721548537692551
2023-03-23,7.5,1.1119346835617046,1.1119346835617046
2023-03-24,18.0,5.030907222593135,5.030907222593135
2023-03-27,12.75,3.07142095307742,3.07142095307742
2023-03-28,9.5,1.8584056433772151,1.8584056433772151
2023-03-29,6.25,0.6453903336770104,0.6453903336770104
2023-04-03,4.5,-0.007771756161561408,-0.007771756161561408
2023-04-04,5.75,0.4587725937231327,0.4587725937231327
2023-04-05,4.0,-0.19438949611543904,-0.19438949611543904
2023-04-06,4.25,-0.10108062613850023,-0.10108062613850023
2023-04-10,2.25,-0.8475515859540108,-0.8475515859540108
2023-04-11,5.25,0.2721548537692551,0.2721548537692551
2023-04-14,4.25,-0.10108062613850023,-0.10108062613850023
2023-04-17,5.25,0.2721548537692551,0.2721548537692551
2023-04-18,4.0,-0.19438949611543904,-0.19438949611543904
2023-04-19,8.0,1.298552423515582,1.298552423515582
2023-04-20,6.25,0.6453903336770104,0.6453903336770104
2023-04-21,4.75,0.08553711381537742,0.08553711381537742
2023-04-24,4.0,-0.19438949611543904,-0.19438949611543904
2023-04-25,4.75,0.08553711381537742,0.08553711381537742
2023-04-26,3.75,-0.28769836609237787,-0.28769836609237787
2023-05-01,3.75,-0.28769836609237787,-0.28769836609237787
2023-05-02,6.75,0.832008073630888,0.832008073630888
2023-05-03,6.5,0.7386992036539491,0.7386992036539491
2023-05-04,4.75,0.08553711381537742,0.08553711381537742
2023-05-08,5.25,0.2721548537692551,0.2721548537692551
2023-05-09,3.25,-0.4743161060462555,-0.4743161060462555
2023-05-12,5.5,0.3654637237461939,0.3654637237461939
2023-05-15,2.5,-0.754242715977072,-0.754242715977072
2023-05-16,4.0,-0.19438949611543904,-0.19438949611543904
2023-05-17,3.25,-0.4743161060462555,-0.4743161060462555
2023-05-18,4.25,-0.10108062613850023,-0.10108062613850023
2023-05-19,4.25,-0.10108062613850023,-0.10108062613850023
2023-05-22,3.5,-0.3810072360693167,-0.3810072360693167
2023-05-23,5.5,0.3654637237461939,0.3654637237461939
2023-05-24,5.25,0.2721548537692551,0.2721548537692551
2023-05-30,20.5,5.963995922362523,5.963995922362523
2023-05-31,5.0,0.17884598379231623,0.17884598379231623
2023-06-01,3.25,-0.4743161060462555,-0.4743161060462555
2023-06-05,4.0,-0.19438949611543904,-0.19438949611543904
2023-06-06,7.25,1.0186258135847657,1.0186258135847657
2023-06-07,4.0,-0.19438949611543904,-0.19438949611543904
2023-06-08,3.75,-0.28769836609237787,-0.28769836609237787
2023-06-09,4.5,-0.007771756161561408,-0.007771756161561408
2023-06-12,3.75,-0.28769836609237787,-0.28769836609237787
