Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.8125007999999525,-0.4962664408232513,-0.4962664408232513
2024-10-15,1.125,-0.23853526347620577,-0.23853526347620577
2024-10-16,0.9375007999999525,-0.3931737059670475,-0.3931737059670475
2024-10-17,2.3125007999999525,0.7408463774511939,0.7408463774511939
2024-10-18,0.9374992000000475,-0.3931750255539753,-0.3931750255539753
2024-10-21,0.8124992000000475,-0.49626776041017906,-0.49626776041017906
2024-10-22,1.125,-0.23853526347620577,-0.23853526347620577
2024-10-23,0.9375007999999525,-0.3931737059670475,-0.3931737059670475
2024-10-24,1.0,-0.34162799833240953,-0.34162799833240953
2024-10-25,1.0624992000000475,-0.2900822906977716,-0.2900822906977716
2024-10-28,0.6874992000000475,-0.5993604952663828,-0.5993604952663828
2024-10-29,1.0625007999999525,-0.29008097111084374,-0.29008097111084374
2024-11-04,0.9375007999999525,-0.3931737059670475,-0.3931737059670475
2024-11-05,0.875,-0.44472073318861327,-0.44472073318861327
2024-11-06,1.625,0.17383567594860927,0.17383567594860927
2024-11-07,1.9375007999999525,0.4315681728825826,0.4315681728825826
2024-11-08,1.5,0.0707429410924055,0.0707429410924055
2024-11-11,0.75,-0.547813468044817,-0.547813468044817
2024-11-12,1.0,-0.34162799833240953,-0.34162799833240953
2024-11-15,2.5625007999999525,0.9470318471636013,0.9470318471636013
2024-11-18,1.1874992000000475,-0.1869895558415678,-0.1869895558415678
2024-11-19,1.25,-0.135442528620002,-0.135442528620002
2024-11-20,0.6875007999999525,-0.5993591756794551,-0.5993591756794551
2024-11-21,0.9374992000000475,-0.3931750255539753,-0.3931750255539753
2024-11-22,0.75,-0.547813468044817,-0.547813468044817
2024-11-25,1.875,0.3800211456610168,0.3800211456610168
2024-11-26,1.1874992000000475,-0.1869895558415678,-0.1869895558415678
2024-11-28,0.3124992000000475,-0.9086386998349941,-0.9086386998349941
2024-11-29,4.5625,2.596514945069398,2.596514945069398
2024-12-02,4.125,2.2356903730726847,2.2356903730726847
2024-12-03,1.1875,-0.1869888960481039,-0.1869888960481039
2024-12-04,0.3125,-0.9086380400415303,-0.9086380400415303
2024-12-05,3.0625,1.3594021267949525,1.3594021267949525
2024-12-09,1.9375,0.43156751308911867,0.43156751308911867
2024-12-10,1.1875,-0.1869888960481039,-0.1869888960481039
2024-12-13,0.75,-0.547813468044817,-0.547813468044817
2024-12-16,0.375,-0.8570916726134283,-0.8570916726134283
2024-12-17,1.1875,-0.1869888960481039,-0.1869888960481039
2024-12-18,1.8125,0.32847477823291493,0.32847477823291493
2024-12-23,0.5625,-0.7024525703291227,-0.7024525703291227
2024-12-24,0.25,-0.9601844074696321,-0.9601844074696321
2024-12-26,0.375,-0.8570916726134283,-0.8570916726134283
2024-12-27,0.6875,-0.5993598354729189,-0.5993598354729189
2024-12-30,1.0,-0.34162799833240953,-0.34162799833240953
2024-12-31,0.9375,-0.3931743657605114,-0.3931743657605114
2025-01-02,0.75,-0.547813468044817,-0.547813468044817
2025-01-03,0.625,-0.6509062029010209,-0.6509062029010209
2025-01-06,1.0625,-0.29008163090430766,-0.29008163090430766
2025-01-07,0.5625,-0.7024525703291227,-0.7024525703291227
2025-01-08,1.625,0.17383567594860927,0.17383567594860927
2025-01-09,0.6875,-0.5993598354729189,-0.5993598354729189
2025-01-13,1.125,-0.23853526347620577,-0.23853526347620577
2025-01-16,1.1875,-0.1869888960481039,-0.1869888960481039
2025-01-17,1.5,0.0707429410924055,0.0707429410924055
2025-01-20,1.375,-0.03234979376379825,-0.03234979376379825
2025-01-21,0.6875,-0.5993598354729189,-0.5993598354729189
2025-01-22,0.8125,-0.49626710061671514,-0.49626710061671514
2025-01-23,0.6875,-0.5993598354729189,-0.5993598354729189
2025-01-24,0.375,-0.8570916726134283,-0.8570916726134283
2025-01-27,1.375,-0.03234979376379825,-0.03234979376379825
2025-01-28,0.5625,-0.7024525703291227,-0.7024525703291227
2025-01-29,0.5,-0.7539989377572246,-0.7539989377572246
2025-02-03,1.25,-0.135442528620002,-0.135442528620002
2025-02-04,0.6875,-0.5993598354729189,-0.5993598354729189
2025-02-05,0.25,-0.9601844074696321,-0.9601844074696321
2025-02-06,0.75,-0.547813468044817,-0.547813468044817
2025-02-10,1.0625,-0.29008163090430766,-0.29008163090430766
2025-02-11,0.5,-0.7539989377572246,-0.7539989377572246
2025-02-14,1.5,0.0707429410924055,0.0707429410924055
2025-02-17,0.25,-0.9601844074696321,-0.9601844074696321
2025-02-18,0.375,-0.8570916726134283,-0.8570916726134283
2025-02-19,0.8125,-0.49626710061671514,-0.49626710061671514
2025-02-20,0.6875,-0.5993598354729189,-0.5993598354729189
2025-02-21,0.625,-0.6509062029010209,-0.6509062029010209
2025-02-24,0.8125,-0.49626710061671514,-0.49626710061671514
2025-02-25,0.75,-0.547813468044817,-0.547813468044817
2025-02-26,4.375,2.441875842785092,2.441875842785092
2025-03-03,4.4375,2.493422210213194,2.493422210213194
2025-03-04,5.5,3.369710456490926,3.369710456490926
2025-03-05,5.125,3.0604322519223146,3.0604322519223146
2025-03-06,6.0,3.782081395915741,3.782081395915741
2025-03-10,4.0625,2.184144005644583,2.184144005644583
2025-03-11,3.9375,2.081051270788379,2.081051270788379
2025-03-14,0.75,-0.547813468044817,-0.547813468044817
2025-03-17,1.875,0.3800211456610168,0.3800211456610168
2025-03-18,0.875,-0.44472073318861327,-0.44472073318861327
2025-03-19,1.1875,-0.1869888960481039,-0.1869888960481039
2025-03-20,1.125,-0.23853526347620577,-0.23853526347620577
2025-03-21,1.1875,-0.1869888960481039,-0.1869888960481039
2025-03-24,0.5625,-0.7024525703291227,-0.7024525703291227
2025-03-25,1.0,-0.34162799833240953,-0.34162799833240953
2025-03-26,0.6875,-0.5993598354729189,-0.5993598354729189
2025-03-31,1.5625,0.12228930852050739,0.12228930852050739
2025-04-01,1.5,0.0707429410924055,0.0707429410924055
2025-04-02,0.875,-0.44472073318861327,-0.44472073318861327
2025-04-03,3.5,1.720226698791666,1.720226698791666
2025-04-04,4.4375,2.493422210213194,2.493422210213194
2025-04-07,3.75,1.9264121685040734,1.9264121685040734
2025-04-08,4.3125,2.39032947535699,2.39032947535699
2025-04-09,3.375,1.6171339639354618,1.6171339639354618
2025-04-14,1.1875,-0.1869888960481039,-0.1869888960481039
2025-04-15,1.75,0.276928410804813,0.276928410804813
2025-04-16,1.0625,-0.29008163090430766,-0.29008163090430766
2025-04-17,1.375,-0.03234979376379825,-0.03234979376379825
2025-04-21,1.6875,0.22538204337671114,0.22538204337671114
2025-04-22,0.5,-0.7539989377572246,-0.7539989377572246
2025-04-23,0.9375,-0.3931743657605114,-0.3931743657605114
2025-04-24,1.5,0.0707429410924055,0.0707429410924055
2025-04-25,0.8125,-0.49626710061671514,-0.49626710061671514
2025-04-28,1.125,-0.23853526347620577,-0.23853526347620577
2025-04-29,0.8125,-0.49626710061671514,-0.49626710061671514
2025-05-01,1.1875,-0.1869888960481039,-0.1869888960481039
2025-05-05,0.8125,-0.49626710061671514,-0.49626710061671514
2025-05-06,1.0,-0.34162799833240953,-0.34162799833240953
2025-05-07,1.0,-0.34162799833240953,-0.34162799833240953
2025-05-08,0.9375,-0.3931743657605114,-0.3931743657605114
2025-05-09,0.8125,-0.49626710061671514,-0.49626710061671514
2025-05-12,1.5,0.0707429410924055,0.0707429410924055
2025-05-14,0.8125,-0.49626710061671514,-0.49626710061671514
2025-05-16,0.8125,-0.49626710061671514,-0.49626710061671514
2025-05-19,1.3125,-0.08389616119190013,-0.08389616119190013
2025-05-20,0.5,-0.7539989377572246,-0.7539989377572246
2025-05-21,0.75,-0.547813468044817,-0.547813468044817
2025-05-22,1.0,-0.34162799833240953,-0.34162799833240953
2025-05-23,2.3125,0.74084571765773,0.74084571765773
2025-05-26,0.25,-0.9601844074696321,-0.9601844074696321
2025-05-27,0.625,-0.6509062029010209,-0.6509062029010209
2025-05-28,5.6875,3.524349558775232,3.524349558775232
2025-06-02,5.0,2.957339517066111,2.957339517066111
2025-06-03,0.75,-0.547813468044817,-0.547813468044817
2025-06-04,1.625,0.17383567594860927,0.17383567594860927
2025-06-05,1.75,0.276928410804813,0.276928410804813
2025-06-09,0.8125,-0.49626710061671514,-0.49626710061671514
2025-06-10,0.375,-0.8570916726134283,-0.8570916726134283
2025-06-13,1.5,0.0707429410924055,0.0707429410924055
2025-06-16,1.0625,-0.29008163090430766,-0.29008163090430766
2025-06-17,1.875,0.3800211456610168,0.3800211456610168
2025-06-18,0.75,-0.547813468044817,-0.547813468044817
2025-06-19,1.0625,-0.29008163090430766,-0.29008163090430766
2025-06-20,1.0,-0.34162799833240953,-0.34162799833240953
2025-06-23,1.375,-0.03234979376379825,-0.03234979376379825
2025-06-24,1.0,-0.34162799833240953,-0.34162799833240953
2025-06-25,1.0,-0.34162799833240953,-0.34162799833240953
2025-06-30,0.625,-0.6509062029010209,-0.6509062029010209
2025-07-01,1.125,-0.23853526347620577,-0.23853526347620577
