Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-13,15.5,1.3235148494865459,1.3235148494865459
2025-04-14,9.5,0.3709505287488243,0.3709505287488243
2025-04-15,5.5,-0.26409235174299006,-0.26409235174299006
2025-04-16,8.5,0.2121898086258707,0.2121898086258707
2025-04-20,10.5,0.5297112488717779,0.5297112488717779
2025-04-21,6.0,-0.18471199168151328,-0.18471199168151328
2025-04-22,10.0,0.4503308888103011,0.4503308888103011
2025-04-23,6.0,-0.18471199168151328,-0.18471199168151328
2025-04-24,5.0,-0.34347271180446687,-0.34347271180446687
2025-04-27,7.5,0.053429088502917096,0.053429088502917096
2025-04-28,3.0,-0.660994152050374,-0.660994152050374
2025-04-29,6.0,-0.18471199168151328,-0.18471199168151328
2025-05-01,8.0,0.1328094485643939,0.1328094485643939
2025-05-04,9.5,0.3709505287488243,0.3709505287488243
2025-05-05,6.5,-0.10533163162003649,-0.10533163162003649
2025-05-06,7.5,0.053429088502917096,0.053429088502917096
2025-05-07,5.0,-0.34347271180446687,-0.34347271180446687
2025-05-08,6.0,-0.18471199168151328,-0.18471199168151328
2025-05-11,4.0,-0.5022334319274204,-0.5022334319274204
2025-05-12,4.0,-0.5022334319274204,-0.5022334319274204
2025-05-14,4.5,-0.4228530718659437,-0.4228530718659437
2025-05-18,12.0,0.7678523290562083,0.7678523290562083
2025-05-19,4.5,-0.4228530718659437,-0.4228530718659437
2025-05-20,10.0,0.4503308888103011,0.4503308888103011
2025-05-21,6.0,-0.18471199168151328,-0.18471199168151328
2025-05-22,4.5,-0.4228530718659437,-0.4228530718659437
2025-05-25,8.5,0.2121898086258707,0.2121898086258707
2025-05-26,6.5,-0.10533163162003649,-0.10533163162003649
2025-05-27,7.0,-0.0259512715585597,-0.0259512715585597
2025-05-28,12.5,0.847232689117685,0.847232689117685
2025-06-01,16.0,1.4028952095480227,1.4028952095480227
2025-06-02,11.5,0.6884719689947315,0.6884719689947315
2025-06-03,4.0,-0.5022334319274204,-0.5022334319274204
2025-06-04,5.0,-0.34347271180446687,-0.34347271180446687
2025-06-05,3.0,-0.660994152050374,-0.660994152050374
2025-06-08,5.5,-0.26409235174299006,-0.26409235174299006
2025-06-09,4.5,-0.4228530718659437,-0.4228530718659437
2025-06-10,5.5,-0.26409235174299006,-0.26409235174299006
2025-06-15,8.5,0.2121898086258707,0.2121898086258707
2025-06-16,6.5,-0.10533163162003649,-0.10533163162003649
2025-06-17,6.5,-0.10533163162003649,-0.10533163162003649
2025-06-18,4.5,-0.4228530718659437,-0.4228530718659437
2025-06-19,4.5,-0.4228530718659437,-0.4228530718659437
2025-06-22,12.0,0.7678523290562083,0.7678523290562083
2025-06-23,4.5,-0.4228530718659437,-0.4228530718659437
2025-06-24,2.0,-0.8197548721733277,-0.8197548721733277
