Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.25,0.0533771165160031,0.0533771165160031
2024-11-04,1.0,-0.6230897565976546,-0.6230897565976546
2024-11-05,12.0,5.329818726802534,5.329818726802534
2024-11-06,2.5,0.18867049113873463,0.18867049113873463
2024-11-07,2.0,-0.08191625810672845,-0.08191625810672845
2024-11-10,0.75,-0.7583831312203861,-0.7583831312203861
2024-11-11,2.75,0.3239638657614662,0.3239638657614662
2024-11-12,1.25,-0.4877963819749231,-0.4877963819749231
2024-11-17,1.5,-0.35250300735219153,-0.35250300735219153
2024-11-18,1.5,-0.35250300735219153,-0.35250300735219153
2024-11-19,1.25,-0.4877963819749231,-0.4877963819749231
2024-11-20,1.0,-0.6230897565976546,-0.6230897565976546
2024-11-21,1.25,-0.4877963819749231,-0.4877963819749231
2024-11-24,2.25,0.0533771165160031,0.0533771165160031
2024-11-25,1.5,-0.35250300735219153,-0.35250300735219153
2024-11-26,1.25,-0.4877963819749231,-0.4877963819749231
2024-12-01,3.75,0.8651373642523924,0.8651373642523924
2024-12-02,0.5,-0.8936765058431178,-0.8936765058431178
2024-12-03,4.0,1.000430738875124,1.000430738875124
2024-12-04,1.25,-0.4877963819749231,-0.4877963819749231
2024-12-05,2.5,0.18867049113873463,0.18867049113873463
2024-12-08,3.75,0.8651373642523924,0.8651373642523924
2024-12-09,1.0,-0.6230897565976546,-0.6230897565976546
2024-12-10,1.0,-0.6230897565976546,-0.6230897565976546
2024-12-15,1.0,-0.6230897565976546,-0.6230897565976546
2024-12-16,1.0,-0.6230897565976546,-0.6230897565976546
2024-12-17,0.75,-0.7583831312203861,-0.7583831312203861
2024-12-18,1.5,-0.35250300735219153,-0.35250300735219153
2024-12-22,1.5,-0.35250300735219153,-0.35250300735219153
2024-12-23,0.75,-0.7583831312203861,-0.7583831312203861
2024-12-25,1.0,-0.6230897565976546,-0.6230897565976546
2024-12-26,1.75,-0.21720963272945998,-0.21720963272945998
2024-12-29,1.0,-0.6230897565976546,-0.6230897565976546
2024-12-30,1.5,-0.35250300735219153,-0.35250300735219153
2025-01-01,2.25,0.0533771165160031,0.0533771165160031
2025-01-02,0.75,-0.7583831312203861,-0.7583831312203861
2025-01-05,0.75,-0.7583831312203861,-0.7583831312203861
2025-01-06,1.75,-0.21720963272945998,-0.21720963272945998
2025-01-07,1.0,-0.6230897565976546,-0.6230897565976546
2025-01-08,1.0,-0.6230897565976546,-0.6230897565976546
2025-01-09,1.0,-0.6230897565976546,-0.6230897565976546
2025-01-12,2.5,0.18867049113873463,0.18867049113873463
2025-01-13,1.0,-0.6230897565976546,-0.6230897565976546
2025-01-16,1.0,-0.6230897565976546,-0.6230897565976546
2025-01-19,1.25,-0.4877963819749231,-0.4877963819749231
2025-01-20,4.5,1.271017488120587,1.271017488120587
2025-01-21,1.25,-0.4877963819749231,-0.4877963819749231
2025-01-22,0.75,-0.7583831312203861,-0.7583831312203861
2025-01-23,2.75,0.3239638657614662,0.3239638657614662
2025-01-26,1.25,-0.4877963819749231,-0.4877963819749231
2025-01-27,1.5,-0.35250300735219153,-0.35250300735219153
2025-01-28,0.75,-0.7583831312203861,-0.7583831312203861
2025-01-29,1.25,-0.4877963819749231,-0.4877963819749231
2025-02-02,4.0,1.000430738875124,1.000430738875124
2025-02-03,3.75,0.8651373642523924,0.8651373642523924
2025-02-04,1.75,-0.21720963272945998,-0.21720963272945998
2025-02-05,1.25,-0.4877963819749231,-0.4877963819749231
2025-02-06,0.75,-0.7583831312203861,-0.7583831312203861
2025-02-09,1.25,-0.4877963819749231,-0.4877963819749231
2025-02-10,2.0,-0.08191625810672845,-0.08191625810672845
2025-02-11,0.75,-0.7583831312203861,-0.7583831312203861
2025-02-14,0.751953125,-0.757326151731146,-0.757326151731146
2025-02-18,2.0,-0.08191625810672845,-0.08191625810672845
2025-02-19,1.25,-0.4877963819749231,-0.4877963819749231
2025-02-20,1.0,-0.6230897565976546,-0.6230897565976546
2025-02-21,2.501953125,0.18972747062797474,0.18972747062797474
2025-02-24,1.5,-0.35250300735219153,-0.35250300735219153
2025-02-25,1.5,-0.35250300735219153,-0.35250300735219153
2025-02-26,2.5,0.18867049113873463,0.18867049113873463
2025-03-03,4.75,1.4063108627433185,1.4063108627433185
2025-03-04,7.0,2.6239512343479023,2.6239512343479023
2025-03-05,3.5,0.7298439896296608,0.7298439896296608
2025-03-06,1.75,-0.21720963272945998,-0.21720963272945998
2025-03-10,3.25,0.5945506150069293,0.5945506150069293
