Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,4.25,0.11758502317268818,0.11758502317268818
2024-11-05,5.0,0.456467702316447,0.456467702316447
2024-11-06,6.75,1.2471939536518843,1.2471939536518843
2024-11-07,5.5,0.6823894884122862,0.6823894884122862
2024-11-08,2.75,-0.5601803351148295,-0.5601803351148295
2024-11-11,1.25,-1.2379456934023472,-1.2379456934023472
2024-11-12,3.5,-0.22129765597107065,-0.22129765597107065
2024-11-15,6.5,1.1342330606039646,1.1342330606039646
2024-11-18,3.25,-0.33425854901899027,-0.33425854901899027
2024-11-19,2.75,-0.5601803351148295,-0.5601803351148295
2024-11-20,2.75,-0.5601803351148295,-0.5601803351148295
2024-11-21,3.25,-0.33425854901899027,-0.33425854901899027
2024-11-22,1.75,-1.0120239073065078,-1.0120239073065078
2024-11-25,4.5,0.2305459162206078,0.2305459162206078
2024-11-26,2.0,-0.8990630142585883,-0.8990630142585883
2024-11-29,5.0,0.456467702316447,0.456467702316447
2024-12-02,5.0,0.456467702316447,0.456467702316447
2024-12-03,5.75,0.7953503814602059,0.7953503814602059
2024-12-04,3.5,-0.22129765597107065,-0.22129765597107065
2024-12-05,5.25,0.5694285953643666,0.5694285953643666
2024-12-09,3.25,-0.33425854901899027,-0.33425854901899027
2024-12-10,3.75,-0.10833676292315104,-0.10833676292315104
2024-12-13,2.5,-0.6731412281627491,-0.6731412281627491
2024-12-16,1.75,-1.0120239073065078,-1.0120239073065078
2024-12-17,1.75,-1.0120239073065078,-1.0120239073065078
2024-12-18,15.5,5.200825210329071,5.200825210329071
2024-12-23,4.0,0.004624130124768569,0.004624130124768569
2024-12-24,3.25,-0.33425854901899027,-0.33425854901899027
2024-12-26,6.0,0.9083112745081254,0.9083112745081254
2024-12-27,2.5,-0.6731412281627491,-0.6731412281627491
2024-12-30,2.25,-0.7861021212106687,-0.7861021212106687
2024-12-31,2.25,-0.7861021212106687,-0.7861021212106687
2025-01-02,4.25,0.11758502317268818,0.11758502317268818
2025-01-03,2.75,-0.5601803351148295,-0.5601803351148295
2025-01-06,2.5,-0.6731412281627491,-0.6731412281627491
2025-01-07,2.25,-0.7861021212106687,-0.7861021212106687
2025-01-08,3.0,-0.4472194420669099,-0.4472194420669099
2025-01-09,2.5,-0.6731412281627491,-0.6731412281627491
2025-01-13,3.0,-0.4472194420669099,-0.4472194420669099
2025-01-16,3.5,-0.22129765597107065,-0.22129765597107065
2025-01-17,2.75,-0.5601803351148295,-0.5601803351148295
2025-01-20,2.75,-0.5601803351148295,-0.5601803351148295
2025-01-21,2.25,-0.7861021212106687,-0.7861021212106687
2025-01-22,2.25,-0.7861021212106687,-0.7861021212106687
2025-01-23,2.5,-0.6731412281627491,-0.6731412281627491
2025-01-24,3.0,-0.4472194420669099,-0.4472194420669099
2025-01-27,3.5,-0.22129765597107065,-0.22129765597107065
2025-01-28,3.25,-0.33425854901899027,-0.33425854901899027
2025-01-29,6.0,0.9083112745081254,0.9083112745081254
2025-02-03,5.0,0.456467702316447,0.456467702316447
2025-02-04,3.0,-0.4472194420669099,-0.4472194420669099
2025-02-05,2.25,-0.7861021212106687,-0.7861021212106687
2025-02-06,4.25,0.11758502317268818,0.11758502317268818
2025-02-10,3.75,-0.10833676292315104,-0.10833676292315104
2025-02-11,2.0,-0.8990630142585883,-0.8990630142585883
2025-02-14,8.0,1.8119984188914826,1.8119984188914826
2025-02-17,1.25,-1.2379456934023472,-1.2379456934023472
2025-02-18,1.75,-1.0120239073065078,-1.0120239073065078
2025-02-19,2.75,-0.5601803351148295,-0.5601803351148295
2025-02-20,3.5,-0.22129765597107065,-0.22129765597107065
2025-02-21,2.5,-0.6731412281627491,-0.6731412281627491
2025-02-24,5.0,0.456467702316447,0.456467702316447
2025-02-25,5.0,0.456467702316447,0.456467702316447
2025-02-26,4.0,0.004624130124768569,0.004624130124768569
2025-03-03,3.5,-0.22129765597107065,-0.22129765597107065
2025-03-04,4.5,0.2305459162206078,0.2305459162206078
2025-03-05,6.0,0.9083112745081254,0.9083112745081254
2025-03-06,6.5,1.1342330606039646,1.1342330606039646
2025-03-10,4.0,0.004624130124768569,0.004624130124768569
2025-03-11,3.75,-0.10833676292315104,-0.10833676292315104
2025-03-14,3.25,-0.33425854901899027,-0.33425854901899027
2025-03-17,6.75,1.2471939536518843,1.2471939536518843
2025-03-18,3.75,-0.10833676292315104,-0.10833676292315104
2025-03-19,4.5,0.2305459162206078,0.2305459162206078
2025-03-20,4.25,0.11758502317268818,0.11758502317268818
2025-03-21,2.5,-0.6731412281627491,-0.6731412281627491
2025-03-24,2.0,-0.8990630142585883,-0.8990630142585883
2025-03-25,4.25,0.11758502317268818,0.11758502317268818
2025-03-26,2.5,-0.6731412281627491,-0.6731412281627491
2025-03-31,4.0,0.004624130124768569,0.004624130124768569
2025-04-01,5.0,0.456467702316447,0.456467702316447
2025-04-02,4.25,0.11758502317268818,0.11758502317268818
2025-04-03,10.5,2.9416073493706785,2.9416073493706785
2025-04-04,11.75,3.5064118146102765,3.5064118146102765
2025-04-07,10.75,3.0545682424185983,3.0545682424185983
2025-04-08,13.25,4.184177172897794,4.184177172897794
2025-04-09,13.75,4.4100989589936335,4.4100989589936335
2025-04-14,6.5,1.1342330606039646,1.1342330606039646
2025-04-15,6.75,1.2471939536518843,1.2471939536518843
2025-04-16,4.5,0.2305459162206078,0.2305459162206078
2025-04-17,4.5,0.2305459162206078,0.2305459162206078
2025-04-21,6.25,1.021272167556045,1.021272167556045
2025-04-22,3.5,-0.22129765597107065,-0.22129765597107065
2025-04-23,3.5,-0.22129765597107065,-0.22129765597107065
