Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-07,6.625,3.1338792417168695,3.1338792417168695
2025-04-08,5.625,2.4836898269055494,2.4836898269055494
2025-04-09,7.375,3.6215213028253594,3.6215213028253594
2025-04-14,2.25,0.2893005519173444,0.2893005519173444
2025-04-15,2.0,0.12675319821451442,0.12675319821451442
2025-04-16,2.25,0.2893005519173444,0.2893005519173444
2025-04-17,1.25,-0.3608888628939756,-0.3608888628939756
2025-04-21,1.625,-0.11706783233973059,-0.11706783233973059
2025-04-22,1.5,-0.1983415091911456,-0.1983415091911456
2025-04-23,1.625,-0.11706783233973059,-0.11706783233973059
2025-04-24,0.625,-0.7672572471510506,-0.7672572471510506
2025-04-25,2.125,0.2080268750659294,0.2080268750659294
2025-04-28,0.875,-0.6047098934482206,-0.6047098934482206
2025-04-29,0.75,-0.6859835702996355,-0.6859835702996355
2025-05-01,2.0,0.12675319821451442,0.12675319821451442
2025-05-05,0.875,-0.6047098934482206,-0.6047098934482206
2025-05-06,1.125,-0.4421625397453906,-0.4421625397453906
2025-05-07,1.5,-0.1983415091911456,-0.1983415091911456
2025-05-08,1.5,-0.1983415091911456,-0.1983415091911456
2025-05-09,1.375,-0.2796151860425606,-0.2796151860425606
2025-05-12,1.625,-0.11706783233973059,-0.11706783233973059
2025-05-14,1.0,-0.5234362165968056,-0.5234362165968056
2025-05-16,3.75,1.2645846741343243,1.2645846741343243
2025-05-19,1.875,0.04547952136309941,0.04547952136309941
2025-05-20,0.875,-0.6047098934482206,-0.6047098934482206
2025-05-21,1.875,0.04547952136309941,0.04547952136309941
2025-05-22,1.75,-0.03579415548831559,-0.03579415548831559
2025-05-23,1.125,-0.4421625397453906,-0.4421625397453906
2025-05-27,1.625,-0.11706783233973059,-0.11706783233973059
2025-05-28,2.625,0.5331215824715894,0.5331215824715894
2025-06-02,2.5,0.4518479056201744,0.4518479056201744
2025-06-03,0.75,-0.6859835702996355,-0.6859835702996355
2025-06-04,1.875,0.04547952136309941,0.04547952136309941
2025-06-05,1.125,-0.4421625397453906,-0.4421625397453906
2025-06-09,1.125,-0.4421625397453906,-0.4421625397453906
2025-06-10,1.0,-0.5234362165968056,-0.5234362165968056
2025-06-13,1.5,-0.1983415091911456,-0.1983415091911456
2025-06-16,0.625,-0.7672572471510506,-0.7672572471510506
2025-06-17,1.125,-0.4421625397453906,-0.4421625397453906
2025-06-18,2.0,0.12675319821451442,0.12675319821451442
2025-06-20,0.75,-0.6859835702996355,-0.6859835702996355
2025-06-23,2.25,0.2893005519173444,0.2893005519173444
2025-06-24,0.125,-1.0923519545567106,-1.0923519545567106
