Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZN)"
count,152.0
mean,4.470394736842105
std,2.219893166565791
min,0.75
10%,2.5
25%,3.0
50%,4.0
75%,5.0
95%,9.612499999999997
99%,12.485000000000014
max,13.75
skewness,1.7374050745024534
kurtosis,3.8998361466275036
