Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-1.1835709369490526,-1.1835709369490526
2024-10-14,14.5,-0.2678889190328296,-0.2678889190328296
2024-10-15,17.0,-0.04986939095753837,-0.04986939095753837
2024-10-16,10.0,-0.6603240695683538,-0.6603240695683538
2024-10-17,20.0,0.21175404273281107,0.21175404273281107
2024-10-18,15.0,-0.22428501341777132,-0.22428501341777132
2024-10-20,4.5,-1.1399670313339945,-1.1399670313339945
2024-10-21,32.0,1.258247777494209,1.258247777494209
2024-10-22,13.5,-0.3550967302629461,-0.3550967302629461
2024-10-23,9.0,-0.7475318807984702,-0.7475318807984702
2024-10-24,15.0,-0.22428501341777132,-0.22428501341777132
2024-10-25,18.0,0.03733842027257811,0.03733842027257811
2024-10-27,19.0,0.1245462315026946,0.1245462315026946
2024-10-28,16.0,-0.13707720218765485,-0.13707720218765485
2024-10-29,22.0,0.386169665193044,0.386169665193044
2024-11-03,8.0,-0.8347396920285867,-0.8347396920285867
2024-11-04,15.0,-0.22428501341777132,-0.22428501341777132
2024-11-05,50.0,2.8279883796363054,2.8279883796363054
2024-11-06,27.0,0.8222087213436264,0.8222087213436264
2024-11-07,29.0,0.9966243438038594,0.9966243438038594
2024-11-08,20.0,0.21175404273281107,0.21175404273281107
2024-11-10,8.5,-0.7911357864135284,-0.7911357864135284
2024-11-11,15.0,-0.22428501341777132,-0.22428501341777132
2024-11-12,30.5,1.1274360606490341,1.1274360606490341
2024-11-15,21.0,0.29896185396292757,0.29896185396292757
2024-11-17,4.5,-1.1399670313339945,-1.1399670313339945
2024-11-18,21.5,0.3425657595779858,0.3425657595779858
2024-11-19,17.0,-0.04986939095753837,-0.04986939095753837
2024-11-20,13.0,-0.3987006358780043,-0.3987006358780043
2024-11-21,14.5,-0.2678889190328296,-0.2678889190328296
2024-11-22,12.5,-0.44230454149306253,-0.44230454149306253
2024-11-24,9.5,-0.703927975183412,-0.703927975183412
2024-11-25,24.0,0.560585287653277,0.560585287653277
2024-11-26,10.5,-0.6167201639532955,-0.6167201639532955
2024-11-28,7.5,-0.878343597643645,-0.878343597643645
