Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,4.25,-0.2940760572065639,-0.2940760572065639
2022-12-21,4.0,-0.3821777129559112,-0.3821777129559112
2022-12-27,7.75,0.9393471232842978,0.9393471232842978
2022-12-28,5.0,-0.029771089958522092,-0.029771089958522092
2022-12-29,4.75,-0.11787274570786936,-0.11787274570786936
2022-12-30,9.25,1.4679570577803815,1.4679570577803815
2023-01-03,4.25,-0.2940760572065639,-0.2940760572065639
2023-01-04,4.0,-0.3821777129559112,-0.3821777129559112
2023-01-05,6.75,0.5869405002869088,0.5869405002869088
2023-01-09,7.75,0.9393471232842978,0.9393471232842978
2023-01-10,6.0,0.322635533038867,0.322635533038867
2023-01-11,4.25,-0.2940760572065639,-0.2940760572065639
2023-01-13,9.0,1.3798554020310343,1.3798554020310343
2023-01-17,5.5,0.14643222154017244,0.14643222154017244
2023-01-19,5.5,0.14643222154017244,0.14643222154017244
2023-01-20,6.0,0.322635533038867,0.322635533038867
2023-01-23,5.5,0.14643222154017244,0.14643222154017244
2023-01-24,3.5,-0.5583810244546057,-0.5583810244546057
2023-01-25,7.75,0.9393471232842978,0.9393471232842978
2023-01-30,4.25,-0.2940760572065639,-0.2940760572065639
2023-01-31,3.0,-0.7345843359533002,-0.7345843359533002
2023-02-01,16.0,3.846701763012758,3.846701763012758
2023-02-02,7.25,0.7631438117856033,0.7631438117856033
2023-02-06,4.75,-0.11787274570786936,-0.11787274570786936
2023-02-07,8.75,1.2917537462816868,1.2917537462816868
2023-02-08,3.25,-0.6464826802039529,-0.6464826802039529
2023-02-09,10.5,1.9084653365271178,1.9084653365271178
2023-02-10,5.75,0.23453387728951972,0.23453387728951972
2023-02-13,3.25,-0.6464826802039529,-0.6464826802039529
2023-02-15,6.5,0.4988388445375615,0.4988388445375615
2023-02-17,6.25,0.41073718878821425,0.41073718878821425
2023-02-21,5.25,0.05833056579082518,0.05833056579082518
2023-02-22,2.75,-0.8226859917026474,-0.8226859917026474
2023-02-27,10.5,1.9084653365271178,1.9084653365271178
2023-02-28,11.75,2.348973615273854,2.348973615273854
2023-03-01,11.0,2.0846686480258123,2.0846686480258123
2023-03-02,10.5,1.9084653365271178,1.9084653365271178
2023-03-03,8.75,1.2917537462816868,1.2917537462816868
2023-03-06,12.25,2.5251769267725486,2.5251769267725486
2023-03-07,8.0,1.027448779033645,1.027448779033645
2023-03-08,6.25,0.41073718878821425,0.41073718878821425
2023-03-09,10.75,1.996566992276465,1.996566992276465
2023-03-13,14.75,3.4061934842660215,3.4061934842660215
2023-03-16,30.0,8.780394484976204,8.780394484976204
2023-03-17,8.0,1.027448779033645,1.027448779033645
2023-03-20,10.25,1.8203636807777706,1.8203636807777706
2023-03-21,9.5,1.5560587135297288,1.5560587135297288
2023-03-22,11.25,2.1727703037751596,2.1727703037751596
2023-03-23,13.75,3.0537868612686325,3.0537868612686325
2023-03-24,7.75,0.9393471232842978,0.9393471232842978
2023-03-27,7.75,0.9393471232842978,0.9393471232842978
2023-03-28,5.5,0.14643222154017244,0.14643222154017244
2023-03-29,6.0,0.322635533038867,0.322635533038867
2023-04-03,4.75,-0.11787274570786936,-0.11787274570786936
2023-04-04,4.75,-0.11787274570786936,-0.11787274570786936
2023-04-05,5.75,0.23453387728951972,0.23453387728951972
2023-04-06,4.25,-0.2940760572065639,-0.2940760572065639
2023-04-10,3.5,-0.5583810244546057,-0.5583810244546057
2023-04-11,4.25,-0.2940760572065639,-0.2940760572065639
2023-04-14,5.5,0.14643222154017244,0.14643222154017244
2023-04-17,4.5,-0.20597440145721663,-0.20597440145721663
2023-04-18,5.75,0.23453387728951972,0.23453387728951972
2023-04-19,4.0,-0.3821777129559112,-0.3821777129559112
2023-04-20,3.75,-0.47027936870525844,-0.47027936870525844
2023-04-21,3.5,-0.5583810244546057,-0.5583810244546057
2023-04-24,5.0,-0.029771089958522092,-0.029771089958522092
2023-04-25,7.5,0.8512454675349506,0.8512454675349506
2023-04-26,10.25,1.8203636807777706,1.8203636807777706
2023-05-01,4.25,-0.2940760572065639,-0.2940760572065639
2023-05-02,3.5,-0.5583810244546057,-0.5583810244546057
2023-05-03,7.5,0.8512454675349506,0.8512454675349506
2023-05-04,12.5,2.613278582521896,2.613278582521896
2023-05-08,4.75,-0.11787274570786936,-0.11787274570786936
2023-05-09,2.75,-0.8226859917026474,-0.8226859917026474
2023-05-12,9.25,1.4679570577803815,1.4679570577803815
2023-05-15,2.25,-0.9988893032013421,-0.9988893032013421
2023-05-16,4.25,-0.2940760572065639,-0.2940760572065639
2023-05-17,6.75,0.5869405002869088,0.5869405002869088
2023-05-18,4.0,-0.3821777129559112,-0.3821777129559112
2023-05-19,8.25,1.1155504347829923,1.1155504347829923
2023-05-22,7.25,0.7631438117856033,0.7631438117856033
2023-05-23,6.5,0.4988388445375615,0.4988388445375615
2023-05-24,4.5,-0.20597440145721663,-0.20597440145721663
2023-05-30,3.5,-0.5583810244546057,-0.5583810244546057
2023-05-31,1.75,-1.1750926147000367,-1.1750926147000367
2023-06-01,2.5,-0.9107876474519948,-0.9107876474519948
2023-06-05,3.75,-0.47027936870525844,-0.47027936870525844
2023-06-06,4.5,-0.20597440145721663,-0.20597440145721663
2023-06-07,11.25,2.1727703037751596,2.1727703037751596
2023-06-08,4.5,-0.20597440145721663,-0.20597440145721663
2023-06-09,3.75,-0.47027936870525844,-0.47027936870525844
2023-06-12,5.0,-0.029771089958522092,-0.029771089958522092
