Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)"
count,150.0
mean,5.361666666666666
std,2.8651950790763463
min,0.75
10%,2.725
25%,3.5
50%,4.75
75%,6.5
95%,10.387499999999996
99%,15.627499999999998
max,17.25
skewness,1.5787800014829414
kurtosis,3.5026820110784698
