Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.8243604015316303,-0.8243604015316303
2024-11-04,7.25,-0.12293977130950648,-0.12293977130950648
2024-11-05,23.25,3.083554538277345,3.083554538277345
2024-11-06,9.25,0.27787201738885,0.27787201738885
2024-11-07,17.25,1.8811191721822755,1.8811191721822755
2024-11-08,6.75,-0.2231427184840956,-0.2231427184840956
2024-11-10,3.75,-0.8243604015316303,-0.8243604015316303
2024-11-11,6.25,-0.3233456656586847,-0.3233456656586847
2024-11-12,10.0,0.42817643815073364,0.42817643815073364
2024-11-15,12.75,0.9792926476109737,0.9792926476109737
2024-11-17,3.25,-0.9245633487062194,-0.9245633487062194
2024-11-18,15.75,1.5805103306585084,1.5805103306585084
2024-11-19,9.75,0.3780749645634391,0.3780749645634391
2024-11-20,6.25,-0.3233456656586847,-0.3233456656586847
2024-11-21,7.0,-0.17304124489680103,-0.17304124489680103
2024-11-22,5.0,-0.5738530335951575,-0.5738530335951575
2024-11-24,4.25,-0.7241574543570412,-0.7241574543570412
2024-11-25,11.5,0.7287852796745009,0.7287852796745009
2024-11-26,10.25,0.4782779117380282,0.4782779117380282
2024-11-29,5.75,-0.42354861283327383,-0.42354861283327383
2024-12-01,6.0,-0.3734471392459793,-0.3734471392459793
2024-12-02,11.25,0.6786838060872064,0.6786838060872064
2024-12-03,12.0,0.82898822684909,0.82898822684909
2024-12-04,13.5,1.1295970683728573,1.1295970683728573
2024-12-05,8.25,0.07746612303967174,0.07746612303967174
2024-12-08,5.25,-0.5237515600078629,-0.5237515600078629
2024-12-09,8.5,0.1275675966269663,0.1275675966269663
2024-12-10,6.5,-0.27324419207139017,-0.27324419207139017
2024-12-13,8.25,0.07746612303967174,0.07746612303967174
2024-12-15,2.25,-1.1249692430553975,-1.1249692430553975
2024-12-16,7.0,-0.17304124489680103,-0.17304124489680103
2024-12-17,7.25,-0.12293977130950648,-0.12293977130950648
2024-12-18,19.5,2.3320324344679264,2.3320324344679264
2024-12-22,3.0,-0.9746648222935139,-0.9746648222935139
2024-12-23,6.75,-0.2231427184840956,-0.2231427184840956
2024-12-24,4.5,-0.6740559807697466,-0.6740559807697466
2024-12-25,3.25,-0.9245633487062194,-0.9245633487062194
2024-12-26,8.0,0.027364649452377186,0.027364649452377186
2024-12-27,5.75,-0.42354861283327383,-0.42354861283327383
2024-12-29,4.5,-0.6740559807697466,-0.6740559807697466
2024-12-30,10.25,0.4782779117380282,0.4782779117380282
2024-12-31,7.0,-0.17304124489680103,-0.17304124489680103
2025-01-01,7.25,-0.12293977130950648,-0.12293977130950648
2025-01-02,8.5,0.1275675966269663,0.1275675966269663
2025-01-03,7.25,-0.12293977130950648,-0.12293977130950648
2025-01-05,2.5,-1.074867769468103,-1.074867769468103
2025-01-06,7.5,-0.07283829772221193,-0.07283829772221193
2025-01-07,8.0,0.027364649452377186,0.027364649452377186
2025-01-08,7.5,-0.07283829772221193,-0.07283829772221193
2025-01-09,5.75,-0.42354861283327383,-0.42354861283327383
2025-01-12,4.5,-0.6740559807697466,-0.6740559807697466
2025-01-13,6.25,-0.3233456656586847,-0.3233456656586847
2025-01-16,12.0,0.82898822684909,0.82898822684909
2025-01-17,7.254028320312273,-0.12213247217460052,-0.12213247217460052
2025-01-19,2.5,-1.074867769468103,-1.074867769468103
2025-01-20,13.75,1.179698541960152,1.179698541960152
2025-01-21,4.75,-0.623954507182452,-0.623954507182452
2025-01-22,7.0,-0.17304124489680103,-0.17304124489680103
2025-01-23,6.5,-0.27324419207139017,-0.27324419207139017
2025-01-24,6.75,-0.2231427184840956,-0.2231427184840956
2025-01-26,11.5,0.7287852796745009,0.7287852796745009
2025-01-27,9.25,0.27787201738885,0.27787201738885
2025-01-28,7.75,-0.022736824134917368,-0.022736824134917368
2025-01-29,9.75,0.3780749645634391,0.3780749645634391
2025-02-02,9.5,0.32797349097614453,0.32797349097614453
2025-02-03,8.0,0.027364649452377186,0.027364649452377186
2025-02-04,9.5,0.32797349097614453,0.32797349097614453
2025-02-05,11.5,0.7287852796745009,0.7287852796745009
2025-02-06,5.0,-0.5738530335951575,-0.5738530335951575
2025-02-09,2.75,-1.0247662958808084,-1.0247662958808084
2025-02-10,5.5,-0.4736500864205684,-0.4736500864205684
2025-02-11,6.25,-0.3233456656586847,-0.3233456656586847
2025-02-14,10.75,0.5784808589126172,0.5784808589126172
2025-02-16,2.75,-1.0247662958808084,-1.0247662958808084
2025-02-17,3.75,-0.8243604015316303,-0.8243604015316303
2025-02-18,6.25,-0.3233456656586847,-0.3233456656586847
2025-02-19,7.0,-0.17304124489680103,-0.17304124489680103
2025-02-20,5.0,-0.5738530335951575,-0.5738530335951575
2025-02-21,10.25,0.4782779117380282,0.4782779117380282
2025-02-23,1.5,-1.2752736638172812,-1.2752736638172812
2025-02-24,9.75,0.3780749645634391,0.3780749645634391
2025-02-25,11.25,0.6786838060872064,0.6786838060872064
2025-02-26,10.75,0.5784808589126172,0.5784808589126172
2025-03-02,3.0,-0.9746648222935139,-0.9746648222935139
2025-03-03,17.0,1.8310176985949809,1.8310176985949809
2025-03-04,19.0,2.2318294872933375,2.2318294872933375
2025-03-05,16.0,1.6306118042458027,1.6306118042458027
2025-03-06,10.25,0.4782779117380282,0.4782779117380282
2025-03-09,4.0,-0.7742589279443357,-0.7742589279443357
2025-03-10,17.25,1.8811191721822755,1.8811191721822755
2025-03-11,13.25,1.079495594785563,1.079495594785563
