Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,3.75,0.10774861024129494,0.10774861024129494
2022-12-21,2.5,-0.39074878009406816,-0.39074878009406816
2022-12-27,2.5,-0.39074878009406816,-0.39074878009406816
2022-12-28,3.25,-0.09165034589285032,-0.09165034589285032
2022-12-29,1.5,-0.7895466923623586,-0.7895466923623586
2023-01-03,4.25,0.30714756637544016,0.30714756637544016
2023-01-04,4.0,0.20744808830836756,0.20744808830836756
2023-01-05,2.5,-0.39074878009406816,-0.39074878009406816
2023-01-08,2.75,-0.2910493020269955,-0.2910493020269955
2023-01-09,3.75,0.10774861024129494,0.10774861024129494
2023-01-10,4.25,0.30714756637544016,0.30714756637544016
2023-01-11,5.5,0.8056449567108033,0.8056449567108033
2023-01-15,3.0,-0.19134982395992292,-0.19134982395992292
2023-01-17,10.0,2.6002355619181103,2.6002355619181103
2023-01-19,4.25,0.30714756637544016,0.30714756637544016
2023-01-22,3.0,-0.19134982395992292,-0.19134982395992292
2023-01-23,2.0,-0.5901477362282134,-0.5901477362282134
2023-01-24,3.25,-0.09165034589285032,-0.09165034589285032
2023-01-25,1.5,-0.7895466923623586,-0.7895466923623586
2023-01-29,3.75,0.10774861024129494,0.10774861024129494
2023-01-30,2.5,-0.39074878009406816,-0.39074878009406816
2023-01-31,2.5,-0.39074878009406816,-0.39074878009406816
2023-02-01,3.0,-0.19134982395992292,-0.19134982395992292
2023-02-02,3.75,0.10774861024129494,0.10774861024129494
2023-02-05,4.25,0.30714756637544016,0.30714756637544016
2023-02-06,4.75,0.5065465225095854,0.5065465225095854
2023-02-07,4.25,0.30714756637544016,0.30714756637544016
2023-02-08,3.0,-0.19134982395992292,-0.19134982395992292
2023-02-09,2.75,-0.2910493020269955,-0.2910493020269955
2023-02-12,2.75,-0.2910493020269955,-0.2910493020269955
2023-02-13,2.25,-0.4904482581611408,-0.4904482581611408
2023-02-15,5.75,0.9053444347778759,0.9053444347778759
2023-02-19,3.25,-0.09165034589285032,-0.09165034589285032
2023-02-21,4.0,0.20744808830836756,0.20744808830836756
2023-02-22,1.5,-0.7895466923623586,-0.7895466923623586
2023-02-26,3.0,-0.19134982395992292,-0.19134982395992292
2023-02-27,9.5,2.400836605783965,2.400836605783965
2023-02-28,10.25,2.6999350399851827,2.6999350399851827
2023-03-01,12.0,3.3978313864546914,3.3978313864546914
2023-03-02,9.0,2.2014376496498196,2.2014376496498196
2023-03-05,10.5,2.7996345180522555,2.7996345180522555
2023-03-06,3.0,-0.19134982395992292,-0.19134982395992292
2023-03-07,5.5,0.8056449567108033,0.8056449567108033
2023-03-08,3.0,-0.19134982395992292,-0.19134982395992292
2023-03-09,12.25,3.4975308645217638,3.4975308645217638
2023-03-12,21.5,7.186411553003452,7.186411553003452
2023-03-13,6.25,1.1047433909120212,1.1047433909120212
2023-03-16,4.75,0.5065465225095854,0.5065465225095854
2023-03-19,13.75,4.0957277329242,4.0957277329242
2023-03-20,8.5,2.0020386935156744,2.0020386935156744
2023-03-21,4.25,0.30714756637544016,0.30714756637544016
2023-03-22,5.5,0.8056449567108033,0.8056449567108033
2023-03-23,9.0,2.2014376496498196,2.2014376496498196
