Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,2.0,-0.5160115651148001,-0.5160115651148001
2024-10-01,2.5,-0.342782860651032,-0.342782860651032
2024-10-02,2.0,-0.5160115651148001,-0.5160115651148001
2024-10-03,1.25,-0.7758546218104522,-0.7758546218104522
2024-10-06,3.25,-0.08293980395537984,-0.08293980395537984
2024-10-07,3.75,0.09028890050838827,0.09028890050838827
2024-10-08,1.75,-0.6026259173466841,-0.6026259173466841
2024-10-09,1.75,-0.6026259173466841,-0.6026259173466841
2024-10-13,1.5,-0.6892402695785682,-0.6892402695785682
2024-10-14,2.75,-0.2561685084191479,-0.2561685084191479
2024-10-15,1.25,-0.7758546218104522,-0.7758546218104522
2024-10-16,2.25,-0.42939721288291605,-0.42939721288291605
2024-10-17,1.5,-0.6892402695785682,-0.6892402695785682
2024-10-20,2.0,-0.5160115651148001,-0.5160115651148001
2024-10-21,2.75,-0.2561685084191479,-0.2561685084191479
2024-10-22,3.25,-0.08293980395537984,-0.08293980395537984
2024-10-23,3.5,0.0036745482765042146,0.0036745482765042146
2024-10-24,2.5,-0.342782860651032,-0.342782860651032
2024-10-27,6.0,0.8698180705953447,0.8698180705953447
2024-10-28,2.25,-0.42939721288291605,-0.42939721288291605
2024-10-29,2.25,-0.42939721288291605,-0.42939721288291605
2024-11-03,3.75,0.09028890050838827,0.09028890050838827
2024-11-04,2.5,-0.342782860651032,-0.342782860651032
2024-11-05,23.25,6.846208374595344,6.846208374595344
2024-11-06,2.75,-0.2561685084191479,-0.2561685084191479
2024-11-07,3.0,-0.16955415618726388,-0.16955415618726388
2024-11-10,3.75,0.09028890050838827,0.09028890050838827
2024-11-11,2.75,-0.2561685084191479,-0.2561685084191479
2024-11-12,2.5,-0.342782860651032,-0.342782860651032
2024-11-17,2.5,-0.342782860651032,-0.342782860651032
2024-11-18,2.0,-0.5160115651148001,-0.5160115651148001
2024-11-19,2.25,-0.42939721288291605,-0.42939721288291605
