Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-06,1.375,0.10412903891551928,0.10412903891551928
2025-01-07,0.68896484375,-0.475680940693129,-0.475680940693129
2025-01-08,1.125,-0.10716114582442943,-0.10716114582442943
2025-01-09,0.875,-0.31845133056437813,-0.31845133056437813
2025-01-13,0.75,-0.42409642293435246,-0.42409642293435246
2025-01-16,0.75,-0.42409642293435246,-0.42409642293435246
2025-01-17,0.6875,-0.4769189691193397,-0.4769189691193397
2025-01-20,0.625,-0.5297415153043268,-0.5297415153043268
2025-01-21,1.4375,0.15695158510050644,0.15695158510050644
2025-01-22,0.625,-0.5297415153043268,-0.5297415153043268
2025-01-23,0.5625,-0.582564061489314,-0.582564061489314
2025-01-24,0.75,-0.42409642293435246,-0.42409642293435246
2025-01-27,2.625,1.1605799626152629,1.1605799626152629
2025-01-28,0.5625,-0.582564061489314,-0.582564061489314
2025-01-29,0.4375,-0.6882091538592884,-0.6882091538592884
2025-02-03,1.375,0.10412903891551928,0.10412903891551928
2025-02-04,0.9375,-0.26562878437939097,-0.26562878437939097
2025-02-05,0.9375,-0.26562878437939097,-0.26562878437939097
2025-02-06,0.6875,-0.4769189691193397,-0.4769189691193397
2025-02-10,0.5,-0.6353866076743012,-0.6353866076743012
2025-02-11,0.375,-0.7410317000442755,-0.7410317000442755
2025-02-14,0.6875,-0.4769189691193397,-0.4769189691193397
2025-02-17,0.625,-0.5297415153043268,-0.5297415153043268
2025-02-18,0.3125,-0.7938542462292627,-0.7938542462292627
2025-02-19,0.3125,-0.7938542462292627,-0.7938542462292627
2025-02-20,0.3125,-0.7938542462292627,-0.7938542462292627
2025-02-21,0.5625,-0.582564061489314,-0.582564061489314
2025-02-24,0.4375,-0.6882091538592884,-0.6882091538592884
2025-02-25,1.1875,-0.05433859963944225,-0.05433859963944225
2025-02-26,4.375,2.639611255794904,2.639611255794904
2025-03-03,4.875,3.062191625274801,3.062191625274801
2025-03-04,5.5,3.590417087124673,3.590417087124673
2025-03-05,1.375,0.10412903891551928,0.10412903891551928
2025-03-06,5.375,3.4847719947546985,3.4847719947546985
2025-03-10,1.5625,0.2625966774704808,0.2625966774704808
2025-03-11,4.875,3.062191625274801,3.062191625274801
2025-03-14,2.875,1.3718701473552115,1.3718701473552115
2025-03-17,0.75,-0.42409642293435246,-0.42409642293435246
2025-03-18,0.5625,-0.582564061489314,-0.582564061489314
2025-03-19,0.5625,-0.582564061489314,-0.582564061489314
2025-03-20,1.5,0.20977413128549363,0.20977413128549363
2025-03-21,1.125,-0.10716114582442943,-0.10716114582442943
2025-03-24,0.5625,-0.582564061489314,-0.582564061489314
2025-03-25,1.0,-0.21280623819440378,-0.21280623819440378
2025-03-26,0.6875,-0.4769189691193397,-0.4769189691193397
2025-03-31,1.5,0.20977413128549363,0.20977413128549363
2025-04-01,1.0,-0.21280623819440378,-0.21280623819440378
2025-04-02,1.5,0.20977413128549363,0.20977413128549363
2025-04-03,1.8125,0.47388686221042947,0.47388686221042947
2025-04-04,4.9375,3.115014171459788,3.115014171459788
2025-04-07,5.9375,3.960174910419583,3.960174910419583
2025-04-08,2.0625,0.6851770469503782,0.6851770469503782
2025-04-09,2.6875,1.21340250880025,1.21340250880025
2025-04-14,1.5625,0.2625966774704808,0.2625966774704808
2025-04-15,1.125,-0.10716114582442943,-0.10716114582442943
2025-04-16,1.375,0.10412903891551928,0.10412903891551928
2025-04-17,0.875,-0.31845133056437813,-0.31845133056437813
