Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,1.75,-0.39939742677579537,-0.39939742677579537
2022-12-21,2.0,-0.2614954561089408,-0.2614954561089408
2022-12-27,2.5,0.014308485224768259,0.014308485224768259
2022-12-28,2.0,-0.2614954561089408,-0.2614954561089408
2022-12-29,2.75,0.1522104558916228,0.1522104558916228
2022-12-30,2.5,0.014308485224768259,0.014308485224768259
2023-01-03,5.75,1.8070341038938773,1.8070341038938773
2023-01-04,4.0,0.8417203092258956,0.8417203092258956
2023-01-05,2.5,0.014308485224768259,0.014308485224768259
2023-01-09,3.0,0.29011242655847735,0.29011242655847735
2023-01-10,2.5,0.014308485224768259,0.014308485224768259
2023-01-11,3.75,0.703818338559041,0.703818338559041
2023-01-13,2.25,-0.12359348544208629,-0.12359348544208629
2023-01-17,2.0,-0.2614954561089408,-0.2614954561089408
2023-01-19,2.25,-0.12359348544208629,-0.12359348544208629
2023-01-20,1.75,-0.39939742677579537,-0.39939742677579537
2023-01-23,1.5,-0.53729939744265,-0.53729939744265
2023-01-24,1.75,-0.39939742677579537,-0.39939742677579537
2023-01-25,2.75,0.1522104558916228,0.1522104558916228
2023-01-30,2.25,-0.12359348544208629,-0.12359348544208629
2023-01-31,5.0,1.3933281918933138,1.3933281918933138
2023-02-01,4.5,1.1175242505596046,1.1175242505596046
2023-02-02,2.75,0.1522104558916228,0.1522104558916228
2023-02-06,3.5,0.5659163678921865,0.5659163678921865
2023-02-07,2.0,-0.2614954561089408,-0.2614954561089408
2023-02-08,4.0,0.8417203092258956,0.8417203092258956
2023-02-09,3.25,0.4280143972253319,0.4280143972253319
2023-02-10,1.0,-0.813103338776359,-0.813103338776359
2023-02-13,2.25,-0.12359348544208629,-0.12359348544208629
2023-02-15,2.5,0.014308485224768259,0.014308485224768259
2023-02-17,1.5,-0.53729939744265,-0.53729939744265
2023-02-21,2.0,-0.2614954561089408,-0.2614954561089408
2023-02-22,2.25,-0.12359348544208629,-0.12359348544208629
2023-02-27,9.25,3.737661693229841,3.737661693229841
2023-02-28,10.75,4.565073517230968,4.565073517230968
2023-03-01,9.25,3.737661693229841,3.737661693229841
2023-03-02,8.5,3.3239557812292775,3.3239557812292775
2023-03-03,7.75,2.9102498692287138,2.9102498692287138
2023-03-06,9.25,3.737661693229841,3.737661693229841
2023-03-07,2.0,-0.2614954561089408,-0.2614954561089408
2023-03-08,2.75,0.1522104558916228,0.1522104558916228
2023-03-09,4.5,1.1175242505596046,1.1175242505596046
2023-03-13,8.25,3.1860538105624228,3.1860538105624228
2023-03-16,5.0,1.3933281918933138,1.3933281918933138
