Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-18,3.75,-0.14905234027482417,-0.14905234027482417
2025-02-19,3.0,-0.4420578074079087,-0.4420578074079087
2025-02-20,1.25,-1.1257372307184392,-1.1257372307184392
2025-02-21,6.25,0.827632550168791,0.827632550168791
2025-02-24,3.5,-0.24672082931918568,-0.24672082931918568
2025-02-25,4.0,-0.05138385123046264,-0.05138385123046264
2025-02-26,8.75,1.804317440612406,1.804317440612406
2025-03-03,5.0,0.3392901049469834,0.3392901049469834
2025-03-04,12.0,3.074007798189106,3.074007798189106
2025-03-05,5.0,0.3392901049469834,0.3392901049469834
2025-03-06,7.5,1.3159749953905986,1.3159749953905986
2025-03-10,3.25,-0.3443893183635472,-0.3443893183635472
2025-03-11,10.5,2.4879968639229366,2.4879968639229366
2025-03-14,3.25,-0.3443893183635472,-0.3443893183635472
2025-03-17,6.5,0.9253010392131525,0.9253010392131525
2025-03-18,5.5,0.5346270830357065,0.5346270830357065
2025-03-19,8.75,1.804317440612406,1.804317440612406
2025-03-20,5.5,0.5346270830357065,0.5346270830357065
2025-03-21,5.0,0.3392901049469834,0.3392901049469834
2025-03-24,2.75,-0.5397262964522702,-0.5397262964522702
2025-03-25,3.5,-0.24672082931918568,-0.24672082931918568
2025-03-26,4.0,-0.05138385123046264,-0.05138385123046264
2025-03-31,5.75,0.6322955720800679,0.6322955720800679
2025-04-01,4.75,0.2416216159026219,0.2416216159026219
2025-04-02,10.25,2.390328374878575,2.390328374878575
2025-04-03,8.75,1.804317440612406,1.804317440612406
2025-04-04,17.25,5.125046068120697,5.125046068120697
2025-04-07,9.75,2.194991396789852,2.194991396789852
2025-04-08,12.0,3.074007798189106,3.074007798189106
2025-04-09,10.75,2.585665352967298,2.585665352967298
2025-04-14,8.0,1.5113119734793217,1.5113119734793217
2025-04-15,7.5,1.3159749953905986,1.3159749953905986
2025-04-16,8.75,1.804317440612406,1.804317440612406
2025-04-17,5.75,0.6322955720800679,0.6322955720800679
2025-04-21,7.75,1.4136434844349601,1.4136434844349601
2025-04-22,3.25,-0.3443893183635472,-0.3443893183635472
2025-04-23,7.25,1.218306506346237,1.218306506346237
2025-04-24,4.0,-0.05138385123046264,-0.05138385123046264
2025-04-25,5.75,0.6322955720800679,0.6322955720800679
2025-04-28,6.75,1.022969528257514,1.022969528257514
2025-04-29,3.5,-0.24672082931918568,-0.24672082931918568
2025-05-01,6.25,0.827632550168791,0.827632550168791
2025-05-05,4.0,-0.05138385123046264,-0.05138385123046264
2025-05-06,5.5,0.5346270830357065,0.5346270830357065
2025-05-07,5.5,0.5346270830357065,0.5346270830357065
2025-05-08,10.25,2.390328374878575,2.390328374878575
2025-05-09,3.75,-0.14905234027482417,-0.14905234027482417
2025-05-12,3.0,-0.4420578074079087,-0.4420578074079087
2025-05-14,5.5,0.5346270830357065,0.5346270830357065
2025-05-16,5.0,0.3392901049469834,0.3392901049469834
2025-05-19,5.25,0.43695859399134496,0.43695859399134496
2025-05-20,3.25,-0.3443893183635472,-0.3443893183635472
2025-05-21,8.0,1.5113119734793217,1.5113119734793217
2025-05-22,5.25,0.43695859399134496,0.43695859399134496
2025-05-23,2.5,-0.6373947854966318,-0.6373947854966318
2025-05-26,1.25,-1.1257372307184392,-1.1257372307184392
2025-05-27,3.75,-0.14905234027482417,-0.14905234027482417
