Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-1.0111355493483356,-1.0111355493483356
2024-10-14,1.625,-0.4274763292697466,-0.4274763292697466
2024-10-15,1.375,-0.5571783781760997,-0.5571783781760997
2024-10-16,1.0625007999999525,-0.7193055242625093,-0.7193055242625093
2024-10-17,2.3125007999999525,-0.07079527973074373,-0.07079527973074373
2024-10-18,1.3124992000000475,-0.5896043054492198,-0.5896043054492198
2024-10-20,0.375,-1.0759865738015122,-1.0759865738015122
2024-10-21,3.125,0.350735964168372,0.350735964168372
2024-10-22,1.5624992000000475,-0.45990225654286676,-0.45990225654286676
2024-10-23,1.3125007999999525,-0.5896034753561561,-0.5896034753561561
2024-10-24,1.4375007999999525,-0.5247524509029796,-0.5247524509029796
2024-10-25,2.625,0.09133186635566577,0.09133186635566577
2024-10-27,1.0,-0.7517314515356294,-0.7517314515356294
2024-10-28,1.875,-0.29777428036339354,-0.29777428036339354
2024-10-29,2.5,0.026480841902489227,0.026480841902489227
2024-11-03,1.1874992000000475,-0.6544553299023964,-0.6544553299023964
2024-11-04,1.8124992000000475,-0.33020020763651364,-0.33020020763651364
2024-11-05,4.6874992000000475,1.161373354786547,1.161373354786547
2024-11-06,2.25,-0.10322120700386388,-0.10322120700386388
2024-11-07,2.375,-0.038370182550687325,-0.038370182550687325
2024-11-08,2.75,0.15618289080884232,0.15618289080884232
2024-11-10,0.75,-0.8814335004419824,-0.8814335004419824
2024-11-11,1.375,-0.5571783781760997,-0.5571783781760997
2024-11-12,2.25,-0.10322120700386388,-0.10322120700386388
2024-11-15,3.125,0.350735964168372,0.350735964168372
2024-11-17,0.8124992000000475,-0.8490084032619261,-0.8490084032619261
2024-11-18,1.6874992000000475,-0.39505123208969023,-0.39505123208969023
2024-11-19,2.3125007999999525,-0.07079527973074373,-0.07079527973074373
2024-11-20,1.25,-0.6220294026292763,-0.6220294026292763
2024-11-21,2.0,-0.23292325591021698,-0.23292325591021698
2024-11-22,1.875,-0.29777428036339354,-0.29777428036339354
2024-11-24,0.875,-0.816582475988806,-0.816582475988806
2024-11-25,2.6874992000000475,0.12375696353572219,0.12375696353572219
2024-11-26,1.75,-0.36262530481657007,-0.36262530481657007
2024-11-28,0.875,-0.816582475988806,-0.816582475988806
2024-11-29,4.6875,1.1613737698330788,1.1613737698330788
2024-12-01,3.875,0.7398421108874312,0.7398421108874312
2024-12-02,4.75,1.193799282059667,1.193799282059667
2024-12-03,1.5625,-0.4599018414963349,-0.4599018414963349
2024-12-04,2.75,0.15618289080884232,0.15618289080884232
2024-12-05,3.375,0.48043801307472506,0.48043801307472506
2024-12-09,2.5,0.026480841902489227,0.026480841902489227
2024-12-10,2.1875,-0.13564671923045216,-0.13564671923045216
2024-12-13,2.125,-0.16807223145704042,-0.16807223145704042
2024-12-15,0.4375,-1.0435610615749238,-1.0435610615749238
2024-12-16,1.4375,-0.5247528659495114,-0.5247528659495114
2024-12-17,2.0,-0.23292325591021698,-0.23292325591021698
2024-12-18,5.3125,1.4856288920989615,1.4856288920989615
2024-12-22,0.4375,-1.0435610615749238,-1.0435610615749238
2024-12-23,1.1875,-0.6544549148558645,-0.6544549148558645
2024-12-24,1.0,-0.7517314515356294,-0.7517314515356294
2024-12-25,0.75,-0.8814335004419824,-0.8814335004419824
2024-12-26,1.375,-0.5571783781760997,-0.5571783781760997
2024-12-27,1.1875,-0.6544549148558645,-0.6544549148558645
2024-12-29,0.375,-1.0759865738015122,-1.0759865738015122
2024-12-30,2.625,0.09133186635566577,0.09133186635566577
2024-12-31,1.5,-0.4923273537229232,-0.4923273537229232
2025-01-01,0.8125,-0.8490079882153941,-0.8490079882153941
2025-01-02,2.0,-0.23292325591021698,-0.23292325591021698
2025-01-03,1.75,-0.36262530481657007,-0.36262530481657007
2025-01-05,0.5625,-0.9787100371217473,-0.9787100371217473
2025-01-06,1.5,-0.4923273537229232,-0.4923273537229232
2025-01-07,1.75,-0.36262530481657007,-0.36262530481657007
2025-01-08,1.6875,-0.39505081704315836,-0.39505081704315836
2025-01-09,1.125,-0.6868804270824528,-0.6868804270824528
2025-01-12,1.0,-0.7517314515356294,-0.7517314515356294
2025-01-13,1.75,-0.36262530481657007,-0.36262530481657007
2025-01-16,2.8125,0.1886084030354306,0.1886084030354306
2025-01-17,2.0625,-0.2004977436836287,-0.2004977436836287
2025-01-19,0.6875,-0.9138590126685707,-0.9138590126685707
2025-01-20,2.375,-0.038370182550687325,-0.038370182550687325
2025-01-21,1.9375,-0.26534876813680525,-0.26534876813680525
2025-01-22,1.375,-0.5571783781760997,-0.5571783781760997
2025-01-23,1.6875,-0.39505081704315836,-0.39505081704315836
2025-01-24,1.3125,-0.589603890402688,-0.589603890402688
2025-01-26,0.6875,-0.9138590126685707,-0.9138590126685707
2025-01-27,2.625,0.09133186635566577,0.09133186635566577
2025-01-28,1.4375,-0.5247528659495114,-0.5247528659495114
2025-01-29,2.3125,-0.0707956947772756,-0.0707956947772756
2025-02-02,1.5625,-0.4599018414963349,-0.4599018414963349
2025-02-03,1.75,-0.36262530481657007,-0.36262530481657007
2025-02-04,1.9375,-0.26534876813680525,-0.26534876813680525
2025-02-05,1.6875,-0.39505081704315836,-0.39505081704315836
2025-02-06,0.875,-0.816582475988806,-0.816582475988806
2025-02-09,0.5625,-0.9787100371217473,-0.9787100371217473
2025-02-10,1.375,-0.5571783781760997,-0.5571783781760997
2025-02-11,0.9375,-0.7841569637622177,-0.7841569637622177
2025-02-14,2.125,-0.16807223145704042,-0.16807223145704042
2025-02-16,0.4375,-1.0435610615749238,-1.0435610615749238
2025-02-17,0.625,-0.946284524895159,-0.946284524895159
2025-02-18,1.1875,-0.6544549148558645,-0.6544549148558645
2025-02-19,1.625,-0.4274763292697466,-0.4274763292697466
2025-02-20,0.875,-0.816582475988806,-0.816582475988806
2025-02-21,2.6875,0.12375737858225405,0.12375737858225405
2025-02-23,0.5,-1.0111355493483356,-1.0111355493483356
2025-02-24,2.25,-0.10322120700386388,-0.10322120700386388
2025-02-25,2.4375,-0.005944670324099047,-0.005944670324099047
2025-02-26,5.9375,1.8098840143648443,1.8098840143648443
2025-03-02,4.8125,1.2262247942862554,1.2262247942862554
2025-03-03,8.5,3.1393300156549637,3.1393300156549637
2025-03-04,8.625,3.20418104010814,3.20418104010814
2025-03-05,8.3125,3.0420534789751987,3.0420534789751987
2025-03-06,7.5,2.620521820029551,2.620521820029551
2025-03-09,1.25,-0.6220294026292763,-0.6220294026292763
2025-03-10,7.25,2.4908197711231983,2.4908197711231983
2025-03-11,5.3125,1.4856288920989615,1.4856288920989615
2025-03-14,3.9375,0.7722676231140195,0.7722676231140195
2025-03-16,2.6875,0.12375737858225405,0.12375737858225405
2025-03-17,3.5,0.5452890375279016,0.5452890375279016
2025-03-18,2.625,0.09133186635566577,0.09133186635566577
2025-03-19,4.0625,0.8371186475671961,0.8371186475671961
2025-03-20,2.3125,-0.0707956947772756,-0.0707956947772756
2025-03-21,2.0625,-0.2004977436836287,-0.2004977436836287
2025-03-23,0.8125,-0.8490079882153941,-0.8490079882153941
2025-03-24,2.25,-0.10322120700386388,-0.10322120700386388
2025-03-25,1.875,-0.29777428036339354,-0.29777428036339354
2025-03-26,1.0625,-0.7193059393090411,-0.7193059393090411
2025-03-30,1.625,-0.4274763292697466,-0.4274763292697466
2025-03-31,2.75,0.15618289080884232,0.15618289080884232
2025-04-01,2.125,-0.16807223145704042,-0.16807223145704042
2025-04-02,6.875,2.2962666977636683,2.2962666977636683
2025-04-03,6.5625,2.134139136630727,2.134139136630727
2025-04-04,7.5,2.620521820029551,2.620521820029551
2025-04-06,7.8125,2.7826493811624924,2.7826493811624924
2025-04-07,11.25,4.566052553624847,4.566052553624847
2025-04-08,6.75,2.231415673310492,2.231415673310492
2025-04-09,9.25,3.528436162374023,3.528436162374023
2025-04-13,2.8125,0.1886084030354306,0.1886084030354306
2025-04-14,3.8125,0.7074165986608429,0.7074165986608429
2025-04-15,2.375,-0.038370182550687325,-0.038370182550687325
2025-04-16,2.0625,-0.2004977436836287,-0.2004977436836287
2025-04-17,1.875,-0.29777428036339354,-0.29777428036339354
2025-04-20,1.625,-0.4274763292697466,-0.4274763292697466
2025-04-21,2.5,0.026480841902489227,0.026480841902489227
2025-04-22,3.5,0.5452890375279016,0.5452890375279016
2025-04-23,2.375,-0.038370182550687325,-0.038370182550687325
2025-04-24,1.875,-0.29777428036339354,-0.29777428036339354
2025-04-25,2.125,-0.16807223145704042,-0.16807223145704042
2025-04-27,0.625,-0.946284524895159,-0.946284524895159
2025-04-28,3.25,0.4155869886215485,0.4155869886215485
2025-04-29,2.25,-0.10322120700386388,-0.10322120700386388
2025-05-01,5.4375,1.5504799165521381,1.5504799165521381
2025-05-04,0.8125,-0.8490079882153941,-0.8490079882153941
2025-05-05,2.0625,-0.2004977436836287,-0.2004977436836287
2025-05-06,2.1875,-0.13564671923045216,-0.13564671923045216
2025-05-07,2.125,-0.16807223145704042,-0.16807223145704042
2025-05-08,3.375,0.48043801307472506,0.48043801307472506
2025-05-09,1.8125,-0.3301997925899818,-0.3301997925899818
2025-05-11,0.75,-0.8814335004419824,-0.8814335004419824
2025-05-12,3.1875,0.38316147639496023,0.38316147639496023
2025-05-14,2.375,-0.038370182550687325,-0.038370182550687325
2025-05-16,2.5625,0.0589063541290775,0.0589063541290775
2025-05-18,1.625,-0.4274763292697466,-0.4274763292697466
2025-05-19,2.125,-0.16807223145704042,-0.16807223145704042
2025-05-20,1.25,-0.6220294026292763,-0.6220294026292763
2025-05-21,1.4375,-0.5247528659495114,-0.5247528659495114
2025-05-22,1.125,-0.6868804270824528,-0.6868804270824528
2025-05-23,2.8125,0.1886084030354306,0.1886084030354306
2025-05-25,1.0625,-0.7193059393090411,-0.7193059393090411
2025-05-26,1.125,-0.6868804270824528,-0.6868804270824528
2025-05-27,1.0,-0.7517314515356294,-0.7517314515356294
2025-05-28,7.4375,2.588096307802963,2.588096307802963
2025-06-01,0.6875,-0.9138590126685707,-0.9138590126685707
2025-06-02,6.125,1.9071605510446092,1.9071605510446092
2025-06-03,1.9375,-0.26534876813680525,-0.26534876813680525
2025-06-04,3.625,0.6101400619810782,0.6101400619810782
2025-06-05,3.4375,0.5128635253013133,0.5128635253013133
2025-06-08,3.625,0.6101400619810782,0.6101400619810782
2025-06-09,1.4375,-0.5247528659495114,-0.5247528659495114
2025-06-10,1.5,-0.4923273537229232,-0.4923273537229232
2025-06-13,3.4375,0.5128635253013133,0.5128635253013133
2025-06-15,1.25,-0.6220294026292763,-0.6220294026292763
2025-06-16,1.75,-0.36262530481657007,-0.36262530481657007
2025-06-17,2.1875,-0.13564671923045216,-0.13564671923045216
2025-06-18,1.5625,-0.4599018414963349,-0.4599018414963349
2025-06-19,1.0625,-0.7193059393090411,-0.7193059393090411
2025-06-20,2.375,-0.038370182550687325,-0.038370182550687325
2025-06-22,1.3125,-0.589603890402688,-0.589603890402688
2025-06-23,3.875,0.7398421108874312,0.7398421108874312
2025-06-24,0.875,-0.816582475988806,-0.816582475988806
