Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,7.5,-0.23192930588647673,-0.23192930588647673
2022-12-21,11.0,0.4482931356608514,0.4482931356608514
2022-12-27,12.75,0.7884043564345155,0.7884043564345155
2022-12-28,9.0,0.05959459763380675,0.05959459763380675
2022-12-29,6.5,-0.42627857489999904,-0.42627857489999904
2022-12-30,9.25,0.10818191488718733,0.10818191488718733
2023-01-03,9.25,0.10818191488718733,0.10818191488718733
2023-01-04,7.0,-0.32910394039323787,-0.32910394039323787
2023-01-05,10.25,0.30253118390070965,0.30253118390070965
2023-01-08,2.75,-1.1550883337007076,-1.1550883337007076
2023-01-09,11.25,0.49688045291423194,0.49688045291423194
2023-01-10,11.5,0.5454677701676125,0.5454677701676125
2023-01-11,8.5,-0.03758003687295441,-0.03758003687295441
2023-01-13,11.75,0.5940550874209931,0.5940550874209931
2023-01-15,3.0,-1.1065010164473272,-1.1065010164473272
2023-01-17,13.25,0.8855789909412766,0.8855789909412766
2023-01-19,13.5,0.9341663081946572,0.9341663081946572
2023-01-20,11.0,0.4482931356608514,0.4482931356608514
2023-01-22,3.0,-1.1065010164473272,-1.1065010164473272
2023-01-23,10.0,0.25394386664732904,0.25394386664732904
2023-01-24,11.25,0.49688045291423194,0.49688045291423194
2023-01-25,7.75,-0.18334198863309614,-0.18334198863309614
2023-01-29,3.75,-0.9607390646871854,-0.9607390646871854
2023-01-30,9.75,0.20535654939394848,0.20535654939394848
2023-01-31,7.75,-0.18334198863309614,-0.18334198863309614
2023-02-01,16.5,1.517214115235224,1.517214115235224
2023-02-02,11.0,0.4482931356608514,0.4482931356608514
2023-02-05,4.25,-0.8635644301804243,-0.8635644301804243
2023-02-06,16.0,1.4200394807284629,1.4200394807284629
2023-02-07,11.25,0.49688045291423194,0.49688045291423194
2023-02-08,6.5,-0.42627857489999904,-0.42627857489999904
2023-02-09,13.0,0.8369916736878961,0.8369916736878961
2023-02-10,9.5,0.1567692321405679,0.1567692321405679
2023-02-12,2.75,-1.1550883337007076,-1.1550883337007076
2023-02-13,6.25,-0.4748658921533796,-0.4748658921533796
2023-02-15,10.25,0.30253118390070965,0.30253118390070965
2023-02-17,13.0,0.8369916736878961,0.8369916736878961
2023-02-19,3.25,-1.0579136991939466,-1.0579136991939466
2023-02-21,14.25,1.0799282599547988,1.0799282599547988
2023-02-22,7.5,-0.23192930588647673,-0.23192930588647673
2023-02-26,3.0,-1.1065010164473272,-1.1065010164473272
2023-02-27,17.25,1.662976066995366,1.662976066995366
2023-02-28,15.75,1.3714521634750825,1.3714521634750825
2023-03-01,20.75,2.343198508542694,2.343198508542694
2023-03-02,15.5,1.3228648462217019,1.3228648462217019
2023-03-03,15.5,1.3228648462217019,1.3228648462217019
2023-03-05,10.5,0.3511185011540902,0.3511185011540902
2023-03-06,15.75,1.3714521634750825,1.3714521634750825
2023-03-07,12.25,0.6912297219277542,0.6912297219277542
2023-03-08,12.25,0.6912297219277542,0.6912297219277542
2023-03-09,27.25,3.6064687571305893,3.6064687571305893
2023-03-12,21.5,2.488960460302836,2.488960460302836
2023-03-13,36.0,5.30702486099891,5.30702486099891
2023-03-16,31.75,4.4810404676914395,4.4810404676914395
2023-03-17,27.75,3.7036433916373506,3.7036433916373506
2023-03-19,13.75,0.9827536254480378,0.9827536254480378
2023-03-20,31.25,4.383865833184679,4.383865833184679
2023-03-21,22.25,2.6347224120629775,2.6347224120629775
2023-03-22,28.75,3.897992660650873,3.897992660650873
2023-03-23,19.5,2.100261922275791,2.100261922275791
2023-03-24,18.0,1.8087380187555075,1.8087380187555075
2023-03-26,5.0,-0.7178024784202826,-0.7178024784202826
2023-03-27,20.5,2.2946111912893135,2.2946111912893135
2023-03-28,11.25,0.49688045291423194,0.49688045291423194
2023-03-29,10.5,0.3511185011540902,0.3511185011540902
2023-04-02,6.5,-0.42627857489999904,-0.42627857489999904
2023-04-03,17.75,1.760150701502127,1.760150701502127
2023-04-04,19.25,2.0516746050224106,2.0516746050224106
2023-04-05,14.75,1.17710289446156,1.17710289446156
2023-04-06,9.0,0.05959459763380675,0.05959459763380675
2023-04-09,2.25,-1.2522629682074689,-1.2522629682074689
2023-04-10,9.75,0.20535654939394848,0.20535654939394848
2023-04-11,9.0,0.05959459763380675,0.05959459763380675
2023-04-14,16.0,1.4200394807284629,1.4200394807284629
2023-04-16,2.5,-1.2036756509540882,-1.2036756509540882
2023-04-17,11.5,0.5454677701676125,0.5454677701676125
2023-04-18,6.75,-0.3776912576466185,-0.3776912576466185
2023-04-19,8.0,-0.13475467137971556,-0.13475467137971556
2023-04-20,9.0,0.05959459763380675,0.05959459763380675
2023-04-21,9.25,0.10818191488718733,0.10818191488718733
2023-04-23,1.75,-1.34943760271423,-1.34943760271423
2023-04-24,11.25,0.49688045291423194,0.49688045291423194
2023-04-25,12.5,0.7398170391811348,0.7398170391811348
2023-04-26,10.25,0.30253118390070965,0.30253118390070965
2023-04-30,3.5,-1.009326381940566,-1.009326381940566
2023-05-01,15.25,1.2742775289683212,1.2742775289683212
2023-05-02,19.5,2.100261922275791,2.100261922275791
2023-05-03,20.0,2.1974365567825522,2.1974365567825522
2023-05-04,16.5,1.517214115235224,1.517214115235224
2023-05-07,3.5,-1.009326381940566,-1.009326381940566
2023-05-08,11.0,0.4482931356608514,0.4482931356608514
2023-05-09,6.5,-0.42627857489999904,-0.42627857489999904
2023-05-12,13.004028320312273,0.8377745747959385,0.8377745747959385
