Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)"
count,142.0
mean,2.4807318029269396
std,1.8429006657457898
min,0.5
10%,1.25
25%,1.5
50%,2.0
75%,2.7544860839845455
95%,4.724999999999994
99%,10.885000000000005
max,14.75
skewness,3.8429874661826147
kurtosis,19.100307742425045
