Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2000-09-20,5.2501220703125,-0.8603926229788812,-0.8603926229788812
2000-09-21,0.7498779296877274,-1.636497236003003,-1.636497236003003
2000-09-24,0.5,-1.679590767790067,-1.679590767790067
2000-09-25,1.500732421875,-1.5070061202131106,-1.5070061202131106
2000-09-26,0.748779296875,-1.6366867043890134,-1.6366867043890134
2000-09-27,2.0,-1.420903264810604,-1.420903264810604
2000-09-28,1.0,-1.593361600130246,-1.593361600130246
2000-10-01,0.499267578125,-1.6797170800473813,-1.6797170800473813
2000-10-02,2.5,-1.334674097150783,-1.334674097150783
2000-10-03,0.7501220703122726,-1.63645513191731,-1.63645513191731
2000-10-04,0.7496337890625,-1.6365393400888137,-1.6365393400888137
2000-10-05,1.75048828125,-1.4639336404689716,-1.4639336404689716
2000-10-08,1.75048828125,-1.4639336404689716,-1.4639336404689716
2000-10-09,3.0,-1.2484449294909616,-1.2484449294909616
2000-10-10,1.500732421875,-1.5070061202131106,-1.5070061202131106
2000-10-11,12.251220703125,0.34700519264458507,0.34700519264458507
2000-10-12,6.748779296875,-0.6019366924711607,-0.6019366924711607
2000-10-15,4.24951171875,-1.032956218512952,-1.032956218512952
2000-10-16,9.748779296875,-0.08456168651223424,-0.08456168651223424
2000-10-17,15.2496337890625,0.8641065220459975,0.8641065220459975
2000-10-18,9.0,-0.21369491757310888,-0.21369491757310888
2000-10-19,5.7503662109375,-0.7741213512332887,-0.7741213512332887
2000-10-22,5.75048828125,-0.774100299190403,-0.774100299190403
2000-10-23,8.0,-0.386153252892751,-0.386153252892751
2000-10-24,11.2496337890625,0.17427318076742887,0.17427318076742887
2000-10-25,8.499267578125,-0.30005039749024415,-0.30005039749024415
2000-10-26,8.7503662109375,-0.2567463452743623,-0.2567463452743623
2000-10-29,6.7503662109375,-0.6016630159136466,-0.6016630159136466
2000-10-30,8.2496337890625,-0.34310182519149757,-0.34310182519149757
2000-10-31,3.7503662109375,-1.119038021872573,-1.119038021872573
2000-11-01,3.0,-1.2484449294909616,-1.2484449294909616
2000-11-02,12.2496337890625,0.346731516087071,0.346731516087071
2000-11-05,7.2496337890625,-0.5155601605111397,-0.5155601605111397
2000-11-06,5.499511718750227,-0.81738329936336,-0.81738329936336
2000-11-07,14.2503662109375,0.6917744989836695,0.6917744989836695
2000-11-08,9.4991455078125,-0.12761311421348767,-0.12761311421348767
2000-11-09,4.7503662109375,-0.9465796865529309,-0.9465796865529309
2000-11-12,4.251220703125,-1.0326614899125521,-1.0326614899125521
2000-11-13,6.500732421875,-0.6447144436149,-0.6447144436149
2000-11-14,6.0,-0.7310699235320353,-0.7310699235320353
2000-11-15,4.2496337890625,-1.0329351664700661,-1.0329351664700661
2000-11-16,5.0,-0.9035282588516774,-0.9035282588516774
2000-11-19,4.24951171875,-1.032956218512952,-1.032956218512952
2000-11-20,4.0,-1.0759865941713196,-1.0759865941713196
2000-11-21,7.24951171875,-0.5155812125540254,-0.5155812125540254
2000-11-23,2.7503662109375,-1.2914963571922151,-1.2914963571922151
2000-11-26,4.2496337890625,-1.0329351664700661,-1.0329351664700661
2000-11-27,7.0,-0.5586115882123931,-0.5586115882123931
2000-11-28,8.748779296875,-0.2570200218318764,-0.2570200218318764
2000-11-29,9.7503662109375,-0.08428800995472016,-0.08428800995472016
2000-11-30,6.0,-0.7310699235320353,-0.7310699235320353
2000-12-03,8.251220703125,-0.3428281486339835,-0.3428281486339835
2000-12-04,11.251220703125,0.17454685732494293,0.17454685732494293
2000-12-05,12.499267578125,0.38978294378832445,0.38978294378832445
2000-12-06,7.500732421875,-0.4722561082952579,-0.4722561082952579
2000-12-07,7.7503662109375,-0.42920468059400446,-0.42920468059400446
2000-12-10,3.4991455078125,-1.1623631261313405,-1.1623631261313405
2000-12-11,5.2496337890625,-0.860476831150424,-0.860476831150424
2000-12-12,11.0,0.13122175306617542,0.13122175306617542
2000-12-13,4.4991455078125,-0.9899047908116984,-0.9899047908116984
2000-12-14,5.748779296875,-0.7743950277908028,-0.7743950277908028
2000-12-17,3.748779296875,-1.119311698430087,-1.119311698430087
2000-12-18,1.0,-1.593361600130246,-1.593361600130246
2000-12-19,13.0,0.4761384237054597,0.4761384237054597
2000-12-20,10.2496337890625,0.0018148454477867186,0.0018148454477867186
2000-12-21,8.0,-0.386153252892751,-0.386153252892751
2000-12-25,6.24951171875,-0.6880395478736675,-0.6880395478736675
2000-12-26,9.2496337890625,-0.17064348987185543,-0.17064348987185543
2000-12-27,7.0,-0.5586115882123931,-0.5586115882123931
2000-12-28,6.24951171875,-0.6880395478736675,-0.6880395478736675
2001-01-01,22.748779296875,2.1573966726431135,2.1573966726431135
2001-01-02,31.2496337890625,3.623439887160272,3.623439887160272
2001-01-03,15.0,0.821055094344744,0.821055094344744
2001-01-04,16.5008544921875,1.079889961624407,1.079889961624407
2001-01-07,11.7503662109375,0.26062866068456414,0.26062866068456414
2001-01-08,8.0,-0.386153252892751,-0.386153252892751
2001-01-09,13.0,0.4761384237054597,0.4761384237054597
2001-01-10,12.0,0.30368008838581756,0.30368008838581756
2001-01-11,16.24951171875,1.0365438053227538,1.0365438053227538
2001-01-15,7.748779296875,-0.42947835715151855,-0.42947835715151855
2001-01-16,18.4991455078125,1.4245119036632916,1.4245119036632916
2001-01-17,11.75048828125,0.2606497127274498,0.2606497127274498
2001-01-18,10.500732421875,0.04511889766366854,0.04511889766366854
2001-01-21,7.499267578125,-0.47250873280988626,-0.47250873280988626
