Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-0.6615753861509907,-0.6615753861509907
2024-10-14,2.0,-0.19537206491076684,-0.19537206491076684
2024-10-15,0.75,-0.7781262164610466,-0.7781262164610466
2024-10-16,1.375,-0.4867491406859067,-0.4867491406859067
2024-10-17,0.875,-0.7198508013060186,-0.7198508013060186
2024-10-20,1.125,-0.6032999709959627,-0.6032999709959627
2024-10-21,1.625,-0.37019831037585077,-0.37019831037585077
2024-10-22,2.25,-0.07882123460071089,-0.07882123460071089
2024-10-23,2.125,-0.13709664975573888,-0.13709664975573888
2024-10-24,1.375,-0.4867491406859067,-0.4867491406859067
2024-10-27,3.375,0.4456575017945409,0.4456575017945409
2024-10-28,1.375,-0.4867491406859067,-0.4867491406859067
2024-10-29,1.25,-0.5450245558409347,-0.5450245558409347
2024-11-03,2.5,0.03772959570934506,0.03772959570934506
2024-11-04,1.25,-0.5450245558409347,-0.5450245558409347
2024-11-05,13.0,4.932864468731695,4.932864468731695
2024-11-06,2.0,-0.19537206491076684,-0.19537206491076684
2024-11-07,1.625,-0.37019831037585077,-0.37019831037585077
2024-11-10,2.0,-0.19537206491076684,-0.19537206491076684
2024-11-11,1.5,-0.42847372553087876,-0.42847372553087876
2024-11-12,1.5,-0.42847372553087876,-0.42847372553087876
2024-11-17,1.5,-0.42847372553087876,-0.42847372553087876
2024-11-18,1.125,-0.6032999709959627,-0.6032999709959627
2024-11-19,1.25,-0.5450245558409347,-0.5450245558409347
2024-11-20,1.0,-0.6615753861509907,-0.6615753861509907
2024-11-21,1.125,-0.6032999709959627,-0.6032999709959627
2024-11-24,2.0,-0.19537206491076684,-0.19537206491076684
2024-11-25,2.0,-0.19537206491076684,-0.19537206491076684
2024-11-26,1.125,-0.6032999709959627,-0.6032999709959627
2024-11-28,1.25,-0.5450245558409347,-0.5450245558409347
2024-12-01,2.125,-0.13709664975573888,-0.13709664975573888
2024-12-02,4.25,0.8535854078797367,0.8535854078797367
2024-12-03,4.375,0.9118608230347647,0.9118608230347647
2024-12-04,1.25,-0.5450245558409347,-0.5450245558409347
2024-12-05,3.25,0.3873820866395129,0.3873820866395129
2024-12-08,1.0,-0.6615753861509907,-0.6615753861509907
2024-12-09,0.875,-0.7198508013060186,-0.7198508013060186
2024-12-10,1.5,-0.42847372553087876,-0.42847372553087876
2024-12-15,1.5,-0.42847372553087876,-0.42847372553087876
2024-12-16,1.0,-0.6615753861509907,-0.6615753861509907
2024-12-17,1.125,-0.6032999709959627,-0.6032999709959627
2024-12-18,2.0,-0.19537206491076684,-0.19537206491076684
2024-12-22,1.25,-0.5450245558409347,-0.5450245558409347
2024-12-23,0.75,-0.7781262164610466,-0.7781262164610466
2024-12-25,2.0,-0.19537206491076684,-0.19537206491076684
2024-12-26,1.125,-0.6032999709959627,-0.6032999709959627
2024-12-29,0.875,-0.7198508013060186,-0.7198508013060186
2024-12-30,1.25,-0.5450245558409347,-0.5450245558409347
2025-01-01,2.0,-0.19537206491076684,-0.19537206491076684
2025-01-02,1.125,-0.6032999709959627,-0.6032999709959627
2025-01-05,1.875,-0.2536474800657948,-0.2536474800657948
2025-01-06,1.5,-0.42847372553087876,-0.42847372553087876
2025-01-07,1.25,-0.5450245558409347,-0.5450245558409347
2025-01-08,1.75,-0.3119228952208228,-0.3119228952208228
2025-01-09,1.375,-0.4867491406859067,-0.4867491406859067
