Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZN)"
count,148.0
mean,4.336148648648648
std,2.2329689591015556
min,1.5
10%,2.5
25%,3.0
50%,3.75
75%,5.0625
95%,7.237500000000004
99%,15.265
max,16.0
skewness,2.9048713484039603
kurtosis,11.724396239559322
