Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.25,-0.5718871541739566,-0.5718871541739566
2024-10-15,0.375,-0.4525717289140223,-0.4525717289140223
2024-10-16,0.4374992000000475,-0.3929147799027315,-0.3929147799027315
2024-10-17,0.4375007999999525,-0.3929132526653788,-0.3929132526653788
2024-10-18,0.4374992000000475,-0.3929147799027315,-0.3929147799027315
2024-10-21,0.375,-0.4525717289140223,-0.4525717289140223
2024-10-22,0.375,-0.4525717289140223,-0.4525717289140223
2024-10-23,0.4374992000000475,-0.3929147799027315,-0.3929147799027315
2024-10-24,0.5625007999999525,-0.2735978274054445,-0.2735978274054445
2024-10-25,0.625,-0.21394087839415368,-0.21394087839415368
2024-10-28,0.5,-0.333256303654088,-0.333256303654088
2024-10-29,0.9374992000000475,0.08434692113700575,0.08434692113700575
2024-11-04,0.5625007999999525,-0.2735978274054445,-0.2735978274054445
2024-11-05,0.8124992000000475,-0.03496850412292856,-0.03496850412292856
2024-11-06,0.625,-0.21394087839415368,-0.21394087839415368
2024-11-07,0.9374992000000475,0.08434692113700575,0.08434692113700575
2024-11-08,0.5,-0.333256303654088,-0.333256303654088
2024-11-11,0.5625007999999525,-0.2735978274054445,-0.2735978274054445
2024-11-12,0.4374992000000475,-0.3929147799027315,-0.3929147799027315
2024-11-15,0.4374992000000475,-0.3929147799027315,-0.3929147799027315
2024-11-18,0.375,-0.4525717289140223,-0.4525717289140223
2024-11-19,0.5,-0.333256303654088,-0.333256303654088
2024-11-20,0.5,-0.333256303654088,-0.333256303654088
2024-11-21,0.4374992000000475,-0.3929147799027315,-0.3929147799027315
2024-11-22,0.5,-0.333256303654088,-0.333256303654088
2024-11-25,0.4374992000000475,-0.3929147799027315,-0.3929147799027315
2024-11-26,0.5,-0.333256303654088,-0.333256303654088
2024-12-02,3.5625,2.5899716152143024,2.5899716152143024
2024-12-03,0.5,-0.333256303654088,-0.333256303654088
2024-12-04,0.375,-0.4525717289140223,-0.4525717289140223
2024-12-05,2.5625,1.635448213134828,1.635448213134828
2024-12-09,1.5,0.6212670984253864,0.6212670984253864
2024-12-10,1.1875,0.3229785352755507,0.3229785352755507
2024-12-13,0.375,-0.4525717289140223,-0.4525717289140223
2024-12-16,0.5,-0.333256303654088,-0.333256303654088
2024-12-17,0.375,-0.4525717289140223,-0.4525717289140223
2024-12-18,1.0,0.14400539738564921,0.14400539738564921
2024-12-23,0.375,-0.4525717289140223,-0.4525717289140223
2024-12-26,0.25,-0.5718871541739566,-0.5718871541739566
2024-12-27,0.375,-0.4525717289140223,-0.4525717289140223
2024-12-30,0.5,-0.333256303654088,-0.333256303654088
2024-12-31,0.25,-0.5718871541739566,-0.5718871541739566
2025-01-02,0.3125,-0.5122294415439894,-0.5122294415439894
2025-01-03,0.25,-0.5718871541739566,-0.5718871541739566
2025-01-06,0.5625,-0.2735985910241208,-0.2735985910241208
2025-01-07,0.375,-0.4525717289140223,-0.4525717289140223
2025-01-08,0.625,-0.21394087839415368,-0.21394087839415368
2025-01-13,0.625,-0.21394087839415368,-0.21394087839415368
2025-01-16,0.3125,-0.5122294415439894,-0.5122294415439894
2025-01-17,0.625,-0.21394087839415368,-0.21394087839415368
2025-01-21,0.5625,-0.2735985910241208,-0.2735985910241208
2025-01-22,0.4375,-0.39291401628405515,-0.39291401628405515
2025-01-23,0.3125,-0.5122294415439894,-0.5122294415439894
2025-01-24,0.375,-0.4525717289140223,-0.4525717289140223
2025-01-27,0.4375,-0.39291401628405515,-0.39291401628405515
2025-01-28,0.5,-0.333256303654088,-0.333256303654088
2025-01-29,0.6875,-0.15428316576418655,-0.15428316576418655
2025-02-03,0.5625,-0.2735985910241208,-0.2735985910241208
2025-02-04,0.375,-0.4525717289140223,-0.4525717289140223
2025-02-05,0.375,-0.4525717289140223,-0.4525717289140223
2025-02-06,0.25,-0.5718871541739566,-0.5718871541739566
2025-02-10,0.4375,-0.39291401628405515,-0.39291401628405515
2025-02-11,0.1875,-0.6315448668039237,-0.6315448668039237
2025-02-14,0.25,-0.5718871541739566,-0.5718871541739566
2025-02-18,0.4375,-0.39291401628405515,-0.39291401628405515
2025-02-19,0.3125,-0.5122294415439894,-0.5122294415439894
2025-02-20,0.3125,-0.5122294415439894,-0.5122294415439894
2025-02-21,0.5,-0.333256303654088,-0.333256303654088
2025-02-24,0.375,-0.4525717289140223,-0.4525717289140223
2025-02-25,0.3125,-0.5122294415439894,-0.5122294415439894
2025-02-26,4.4375,3.4251795920338424,3.4251795920338424
2025-03-03,5.25,4.200729856223416,4.200729856223416
2025-03-04,6.0,4.916622407783021,4.916622407783021
2025-03-05,0.9375,0.08434768475568208,0.08434768475568208
2025-03-06,0.375,-0.4525717289140223,-0.4525717289140223
2025-03-10,0.875,0.02468997212571492,0.02468997212571492
2025-03-11,0.75,-0.09462545313421938,-0.09462545313421938
2025-03-14,2.125,1.2178442247250578,1.2178442247250578
2025-03-17,2.25,1.3371596499849923,1.3371596499849923
2025-03-18,0.3125,-0.5122294415439894,-0.5122294415439894
2025-03-19,0.6875,-0.15428316576418655,-0.15428316576418655
2025-03-20,0.4375,-0.39291401628405515,-0.39291401628405515
2025-03-21,0.4375,-0.39291401628405515,-0.39291401628405515
2025-03-24,0.3125,-0.5122294415439894,-0.5122294415439894
2025-03-25,0.625,-0.21394087839415368,-0.21394087839415368
2025-03-26,0.5,-0.333256303654088,-0.333256303654088
2025-03-31,0.875,0.02468997212571492,0.02468997212571492
2025-04-01,0.75,-0.09462545313421938,-0.09462545313421938
2025-04-02,4.125,3.126891028884007,3.126891028884007
2025-04-03,1.375,0.5019516731654522,0.5019516731654522
2025-04-04,2.0625,1.1581865120950907,1.1581865120950907
2025-04-07,2.6875,1.7547636383947622,1.7547636383947622
2025-04-08,2.6875,1.7547636383947622,1.7547636383947622
2025-04-09,2.875,1.9337367762846638,1.9337367762846638
2025-04-14,0.9375,0.08434768475568208,0.08434768475568208
2025-04-15,0.8125,-0.034967740504252234,-0.034967740504252234
2025-04-16,0.5625,-0.2735985910241208,-0.2735985910241208
2025-04-17,0.6875,-0.15428316576418655,-0.15428316576418655
2025-04-21,0.875,0.02468997212571492,0.02468997212571492
2025-04-22,0.625,-0.21394087839415368,-0.21394087839415368
2025-04-23,0.75,-0.09462545313421938,-0.09462545313421938
2025-04-24,0.25,-0.5718871541739566,-0.5718871541739566
2025-04-25,0.5625,-0.2735985910241208,-0.2735985910241208
2025-04-28,0.625,-0.21394087839415368,-0.21394087839415368
2025-04-29,0.25,-0.5718871541739566,-0.5718871541739566
2025-05-01,0.625,-0.21394087839415368,-0.21394087839415368
2025-05-05,0.3125,-0.5122294415439894,-0.5122294415439894
2025-05-06,0.5625,-0.2735985910241208,-0.2735985910241208
2025-05-07,0.875,0.02468997212571492,0.02468997212571492
2025-05-08,0.8125,-0.034967740504252234,-0.034967740504252234
2025-05-09,0.5,-0.333256303654088,-0.333256303654088
2025-05-12,0.6875,-0.15428316576418655,-0.15428316576418655
2025-05-14,0.3125,-0.5122294415439894,-0.5122294415439894
2025-05-16,0.9375,0.08434768475568208,0.08434768475568208
2025-05-19,0.5,-0.333256303654088,-0.333256303654088
2025-05-20,0.25,-0.5718871541739566,-0.5718871541739566
2025-05-21,0.625,-0.21394087839415368,-0.21394087839415368
2025-05-22,0.4375,-0.39291401628405515,-0.39291401628405515
2025-05-23,0.320556640625,-0.5045391895252828,-0.5045391895252828
2025-05-27,0.625,-0.21394087839415368,-0.21394087839415368
2025-05-28,4.9375,3.9024412930735797,3.9024412930735797
2025-06-02,4.8125,3.7831258678136455,3.7831258678136455
2025-06-03,0.3125,-0.5122294415439894,-0.5122294415439894
2025-06-04,0.4375,-0.39291401628405515,-0.39291401628405515
2025-06-05,0.5,-0.333256303654088,-0.333256303654088
2025-06-09,0.4375,-0.39291401628405515,-0.39291401628405515
2025-06-10,0.5,-0.333256303654088,-0.333256303654088
2025-06-13,0.375,-0.4525717289140223,-0.4525717289140223
2025-06-16,0.25,-0.5718871541739566,-0.5718871541739566
2025-06-17,0.4375,-0.39291401628405515,-0.39291401628405515
2025-06-18,0.6875,-0.15428316576418655,-0.15428316576418655
2025-06-20,0.3125,-0.5122294415439894,-0.5122294415439894
2025-06-23,1.125,0.26332082264558354,0.26332082264558354
2025-06-24,0.6875,-0.15428316576418655,-0.15428316576418655
2025-06-25,0.5,-0.333256303654088,-0.333256303654088
