Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,6.0,0.2184819062659721,0.2184819062659721
2024-10-01,6.5,0.3942046190804268,0.3942046190804268
2024-10-02,2.0,-1.1872997962496652,-1.1872997962496652
2024-10-03,4.25,-0.39654758858461925,-0.39654758858461925
2024-10-07,2.5,-1.0115770834352107,-1.0115770834352107
2024-10-08,4.25,-0.39654758858461925,-0.39654758858461925
2024-10-09,1.75,-1.2751611526568927,-1.2751611526568927
2024-10-14,2.75,-0.9237157270279833,-0.9237157270279833
2024-10-15,2.75,-0.9237157270279833,-0.9237157270279833
2024-10-16,3.0,-0.835854370620756,-0.835854370620756
2024-10-17,1.75,-1.2751611526568927,-1.2751611526568927
2024-10-18,2.0,-1.1872997962496652,-1.1872997962496652
2024-10-21,4.5,-0.30868623217739194,-0.30868623217739194
2024-10-22,3.0,-0.835854370620756,-0.835854370620756
2024-10-23,3.5,-0.6601316578063012,-0.6601316578063012
2024-10-24,5.0,-0.13296351936293724,-0.13296351936293724
2024-10-25,5.75,0.13062054985874477,0.13062054985874477
2024-10-28,5.75,0.13062054985874477,0.13062054985874477
2024-10-29,6.75,0.4820659754876541,0.4820659754876541
2024-11-04,7.25,0.6577886883021088,0.6577886883021088
2024-11-05,7.75,0.8335114011165635,0.8335114011165635
2024-11-06,6.75,0.4820659754876541,0.4820659754876541
2024-11-07,5.5,0.042759193451517435,0.042759193451517435
2024-11-08,6.0,0.2184819062659721,0.2184819062659721
2024-11-11,2.0,-1.1872997962496652,-1.1872997962496652
2024-11-12,4.0,-0.4844089449918466,-0.4844089449918466
2024-11-15,10.5,1.799986321596064,1.799986321596064
2024-11-18,5.5,0.042759193451517435,0.042759193451517435
2024-11-19,3.0,-0.835854370620756,-0.835854370620756
2024-11-20,2.75,-0.9237157270279833,-0.9237157270279833
2024-11-21,7.0,0.5699273318948814,0.5699273318948814
2024-11-22,3.25,-0.7479930142135286,-0.7479930142135286
2024-11-25,5.25,-0.0451021629557099,-0.0451021629557099
2024-11-26,2.75,-0.9237157270279833,-0.9237157270279833
2024-11-28,4.5,-0.30868623217739194,-0.30868623217739194
2024-11-29,5.75,0.13062054985874477,0.13062054985874477
2024-12-02,8.75,1.1849568267454729,1.1849568267454729
2024-12-03,6.25,0.30634326267319945,0.30634326267319945
2024-12-04,6.5,0.3942046190804268,0.3942046190804268
2024-12-05,6.5,0.3942046190804268,0.3942046190804268
2024-12-09,3.5,-0.6601316578063012,-0.6601316578063012
2024-12-10,5.5,0.042759193451517435,0.042759193451517435
2024-12-13,4.5,-0.30868623217739194,-0.30868623217739194
2024-12-16,3.5,-0.6601316578063012,-0.6601316578063012
2024-12-17,2.25,-1.099438439842438,-1.099438439842438
2024-12-18,15.5,3.5572134497406105,3.5572134497406105
2024-12-23,4.75,-0.22082487577016457,-0.22082487577016457
2024-12-24,4.5,-0.30868623217739194,-0.30868623217739194
2024-12-26,7.25,0.6577886883021088,0.6577886883021088
2024-12-27,5.0,-0.13296351936293724,-0.13296351936293724
2024-12-30,2.75,-0.9237157270279833,-0.9237157270279833
2024-12-31,6.75,0.4820659754876541,0.4820659754876541
2025-01-02,7.5,0.7456500447093362,0.7456500447093362
2025-01-03,4.0,-0.4844089449918466,-0.4844089449918466
2025-01-06,4.5,-0.30868623217739194,-0.30868623217739194
2025-01-07,3.75,-0.572270301399074,-0.572270301399074
2025-01-08,3.0,-0.835854370620756,-0.835854370620756
2025-01-09,2.5,-1.0115770834352107,-1.0115770834352107
2025-01-13,3.25,-0.7479930142135286,-0.7479930142135286
2025-01-16,10.0,1.6242636087816096,1.6242636087816096
2025-01-17,3.75,-0.572270301399074,-0.572270301399074
2025-01-20,2.75,-0.9237157270279833,-0.9237157270279833
2025-01-21,3.25,-0.7479930142135286,-0.7479930142135286
2025-01-22,5.5,0.042759193451517435,0.042759193451517435
2025-01-23,3.25,-0.7479930142135286,-0.7479930142135286
2025-01-24,3.75,-0.572270301399074,-0.572270301399074
2025-01-27,4.5,-0.30868623217739194,-0.30868623217739194
2025-01-28,4.0,-0.4844089449918466,-0.4844089449918466
2025-01-29,8.75,1.1849568267454729,1.1849568267454729
2025-02-03,6.25,0.30634326267319945,0.30634326267319945
2025-02-04,3.25,-0.7479930142135286,-0.7479930142135286
2025-02-05,3.5,-0.6601316578063012,-0.6601316578063012
2025-02-06,4.25,-0.39654758858461925,-0.39654758858461925
2025-02-10,4.0,-0.4844089449918466,-0.4844089449918466
2025-02-11,2.5,-1.0115770834352107,-1.0115770834352107
2025-02-14,3.25,-0.7479930142135286,-0.7479930142135286
2025-02-17,1.0,-1.5387452218785747,-1.5387452218785747
2025-02-18,4.0,-0.4844089449918466,-0.4844089449918466
2025-02-19,3.25,-0.7479930142135286,-0.7479930142135286
2025-02-20,1.75,-1.2751611526568927,-1.2751611526568927
2025-02-21,6.25,0.30634326267319945,0.30634326267319945
2025-02-24,3.5,-0.6601316578063012,-0.6601316578063012
2025-02-25,4.0,-0.4844089449918466,-0.4844089449918466
2025-02-26,8.75,1.1849568267454729,1.1849568267454729
2025-03-03,4.75,-0.22082487577016457,-0.22082487577016457
2025-03-04,13.25,2.766461242075565,2.766461242075565
2025-03-05,7.0,0.5699273318948814,0.5699273318948814
2025-03-06,7.5,0.7456500447093362,0.7456500447093362
2025-03-10,3.25,-0.7479930142135286,-0.7479930142135286
2025-03-11,12.0,2.327154460039428,2.327154460039428
2025-03-14,3.25,-0.7479930142135286,-0.7479930142135286
2025-03-17,6.5,0.3942046190804268,0.3942046190804268
2025-03-18,5.5,0.042759193451517435,0.042759193451517435
2025-03-19,8.75,1.1849568267454729,1.1849568267454729
2025-03-20,6.0,0.2184819062659721,0.2184819062659721
2025-03-21,5.0,-0.13296351936293724,-0.13296351936293724
2025-03-24,2.75,-0.9237157270279833,-0.9237157270279833
2025-03-25,3.75,-0.572270301399074,-0.572270301399074
2025-03-26,4.0,-0.4844089449918466,-0.4844089449918466
2025-03-31,5.75,0.13062054985874477,0.13062054985874477
2025-04-01,4.75,-0.22082487577016457,-0.22082487577016457
2025-04-02,10.25,1.7121249651888368,1.7121249651888368
2025-04-03,8.75,1.1849568267454729,1.1849568267454729
2025-04-04,17.25,4.172242944591202,4.172242944591202
2025-04-07,15.75,3.645074806147838,3.645074806147838
2025-04-08,12.0,2.327154460039428,2.327154460039428
