Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.5186763269768312,-0.5186763269768312
2024-10-15,9.0,-0.036043919419864116,-0.036043919419864116
2024-10-16,8.0,-0.22909688244265092,-0.22909688244265092
2024-10-17,4.5,-0.9047822530224048,-0.9047822530224048
2024-10-18,7.5,-0.32562336395404434,-0.32562336395404434
2024-10-21,12.5,0.6396414511598897,0.6396414511598897
2024-10-22,6.0,-0.6152028084882245,-0.6152028084882245
2024-10-23,4.5,-0.9047822530224048,-0.9047822530224048
2024-10-24,9.0,-0.036043919419864116,-0.036043919419864116
2024-10-25,7.5,-0.32562336395404434,-0.32562336395404434
2024-10-28,9.0,-0.036043919419864116,-0.036043919419864116
2024-10-29,12.0,0.5431149696484963,0.5431149696484963
2024-11-04,9.5,0.06048256209152929,0.06048256209152929
2024-11-05,7.5,-0.32562336395404434,-0.32562336395404434
2024-11-06,26.5,3.3423829334789046,3.3423829334789046
2024-11-07,14.5,1.0257473772054633,1.0257473772054633
2024-11-08,10.5,0.2535355251143161,0.2535355251143161
2024-11-11,6.5,-0.5186763269768312,-0.5186763269768312
2024-11-12,12.0,0.5431149696484963,0.5431149696484963
2024-11-15,9.5,0.06048256209152929,0.06048256209152929
2024-11-18,10.0,0.1570090436029227,0.1570090436029227
2024-11-19,14.0,0.92922089569407,0.92922089569407
2024-11-20,7.0,-0.4221498454654377,-0.4221498454654377
2024-11-21,8.0,-0.22909688244265092,-0.22909688244265092
2024-11-22,9.0,-0.036043919419864116,-0.036043919419864116
2024-11-25,7.5,-0.32562336395404434,-0.32562336395404434
2024-11-26,5.5,-0.7117292899996179,-0.7117292899996179
2024-11-28,6.0,-0.6152028084882245,-0.6152028084882245
2024-11-29,9.5,0.06048256209152929,0.06048256209152929
2024-12-02,10.0,0.1570090436029227,0.1570090436029227
2024-12-03,8.0,-0.22909688244265092,-0.22909688244265092
2024-12-04,7.0,-0.4221498454654377,-0.4221498454654377
2024-12-05,9.0,-0.036043919419864116,-0.036043919419864116
2024-12-09,8.5,-0.13257040093125752,-0.13257040093125752
2024-12-10,11.5,0.4465884881371029,0.4465884881371029
2024-12-13,6.5,-0.5186763269768312,-0.5186763269768312
2024-12-16,4.0,-1.001308734533798,-1.001308734533798
2024-12-17,7.5,-0.32562336395404434,-0.32562336395404434
2024-12-18,7.0,-0.4221498454654377,-0.4221498454654377
2024-12-23,5.5,-0.7117292899996179,-0.7117292899996179
2024-12-26,4.0,-1.001308734533798,-1.001308734533798
2024-12-27,12.0,0.5431149696484963,0.5431149696484963
2024-12-30,5.5,-0.7117292899996179,-0.7117292899996179
2024-12-31,5.5,-0.7117292899996179,-0.7117292899996179
2025-01-02,12.5,0.6396414511598897,0.6396414511598897
2025-01-03,5.5,-0.7117292899996179,-0.7117292899996179
2025-01-06,10.0,0.1570090436029227,0.1570090436029227
2025-01-07,9.5,0.06048256209152929,0.06048256209152929
2025-01-08,8.5,-0.13257040093125752,-0.13257040093125752
2025-01-09,6.0,-0.6152028084882245,-0.6152028084882245
2025-01-13,5.0,-0.8082557715110114,-0.8082557715110114
2025-01-16,6.0,-0.6152028084882245,-0.6152028084882245
2025-01-17,7.0,-0.4221498454654377,-0.4221498454654377
2025-01-20,6.0,-0.6152028084882245,-0.6152028084882245
2025-01-21,10.5,0.2535355251143161,0.2535355251143161
2025-01-22,7.5,-0.32562336395404434,-0.32562336395404434
2025-01-23,10.0,0.1570090436029227,0.1570090436029227
2025-01-24,7.5,-0.32562336395404434,-0.32562336395404434
2025-01-27,18.0,1.7014327477852171,1.7014327477852171
2025-01-28,6.5,-0.5186763269768312,-0.5186763269768312
2025-01-29,5.0,-0.8082557715110114,-0.8082557715110114
2025-02-03,10.0,0.1570090436029227,0.1570090436029227
2025-02-04,9.5,0.06048256209152929,0.06048256209152929
2025-02-05,9.0,-0.036043919419864116,-0.036043919419864116
2025-02-06,6.004028320312273,-0.6144251293159354,-0.6144251293159354
2025-02-10,7.0,-0.4221498454654377,-0.4221498454654377
2025-02-11,8.5,-0.13257040093125752,-0.13257040093125752
2025-02-14,5.5,-0.7117292899996179,-0.7117292899996179
2025-02-17,4.0,-1.001308734533798,-1.001308734533798
2025-02-18,3.5,-1.0978352160451916,-1.0978352160451916
2025-02-19,7.0,-0.4221498454654377,-0.4221498454654377
2025-02-20,6.0,-0.6152028084882245,-0.6152028084882245
2025-02-21,4.5,-0.9047822530224048,-0.9047822530224048
2025-02-24,6.5,-0.5186763269768312,-0.5186763269768312
2025-02-25,11.0,0.3500620066257095,0.3500620066257095
2025-02-26,8.5,-0.13257040093125752,-0.13257040093125752
2025-03-03,11.5,0.4465884881371029,0.4465884881371029
2025-03-04,13.5,0.8326944141826765,0.8326944141826765
2025-03-05,12.5,0.6396414511598897,0.6396414511598897
2025-03-06,10.5,0.2535355251143161,0.2535355251143161
2025-03-10,15.0,1.1222738587168568,1.1222738587168568
2025-03-11,10.0,0.1570090436029227,0.1570090436029227
2025-03-14,9.0,-0.036043919419864116,-0.036043919419864116
2025-03-17,8.0,-0.22909688244265092,-0.22909688244265092
2025-03-18,9.0,-0.036043919419864116,-0.036043919419864116
2025-03-19,6.5,-0.5186763269768312,-0.5186763269768312
2025-03-20,9.0,-0.036043919419864116,-0.036043919419864116
2025-03-21,8.5,-0.13257040093125752,-0.13257040093125752
2025-03-24,5.5,-0.7117292899996179,-0.7117292899996179
2025-03-25,9.0,-0.036043919419864116,-0.036043919419864116
