Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,5.0,-0.04704074299262686,-0.04704074299262686
2024-11-05,8.0,1.1152228738840386,1.1152228738840386
2024-11-06,6.25,0.4372357640393171,0.4372357640393171
2024-11-07,12.25,2.761762997792648,2.761762997792648
2024-11-08,6.5,0.5340910654457058,0.5340910654457058
2024-11-11,5.75,0.2435251612265395,0.2435251612265395
2024-11-12,6.75,0.6309463668520947,0.6309463668520947
2024-11-15,10.25,1.9869205865415376,1.9869205865415376
2024-11-18,5.75,0.2435251612265395,0.2435251612265395
2024-11-19,5.5,0.1466698598201507,0.1466698598201507
2024-11-20,5.5,0.1466698598201507,0.1466698598201507
2024-11-21,5.75,0.2435251612265395,0.2435251612265395
2024-11-22,5.0,-0.04704074299262686,-0.04704074299262686
2024-11-25,9.75,1.79320998372876,1.79320998372876
2024-11-26,5.5,0.1466698598201507,0.1466698598201507
2024-11-29,5.25,0.04981455841376193,0.04981455841376193
2024-12-02,11.25,2.3743417921670926,2.3743417921670926
2024-12-03,9.0,1.5026440795095937,1.5026440795095937
2024-12-04,12.0,2.6649076963862592,2.6649076963862592
2024-12-05,6.0,0.3403804626329283,0.3403804626329283
2024-12-09,6.0,0.3403804626329283,0.3403804626329283
2024-12-10,6.5,0.5340910654457058,0.5340910654457058
2024-12-13,6.0,0.3403804626329283,0.3403804626329283
2024-12-16,5.5,0.1466698598201507,0.1466698598201507
2024-12-17,7.25,0.8246569696648722,0.8246569696648722
2024-12-18,5.5,0.1466698598201507,0.1466698598201507
2024-12-23,4.5,-0.24075134580540444,-0.24075134580540444
2024-12-24,2.0,-1.2093043598692923,-1.2093043598692923
2024-12-26,3.5,-0.6281725514309596,-0.6281725514309596
2024-12-27,4.75,-0.14389604439901565,-0.14389604439901565
2024-12-30,7.5,0.921512271071261,0.921512271071261
2024-12-31,6.0,0.3403804626329283,0.3403804626329283
2025-01-02,8.0,1.1152228738840386,1.1152228738840386
2025-01-03,5.0,-0.04704074299262686,-0.04704074299262686
2025-01-06,7.5,0.921512271071261,0.921512271071261
2025-01-07,8.0,1.1152228738840386,1.1152228738840386
2025-01-08,6.25,0.4372357640393171,0.4372357640393171
2025-01-09,4.0,-0.434461948618182,-0.434461948618182
2025-01-13,4.75,-0.14389604439901565,-0.14389604439901565
2025-01-16,10.75,2.1806311893543153,2.1806311893543153
2025-01-17,6.5,0.5340910654457058,0.5340910654457058
2025-01-20,8.0,1.1152228738840386,1.1152228738840386
2025-01-21,4.0,-0.434461948618182,-0.434461948618182
2025-01-22,5.5,0.1466698598201507,0.1466698598201507
2025-01-23,4.75,-0.14389604439901565,-0.14389604439901565
2025-01-24,6.75,0.6309463668520947,0.6309463668520947
2025-01-27,7.75,1.0183675724776498,1.0183675724776498
2025-01-28,4.25,-0.33760664721179323,-0.33760664721179323
2025-01-29,5.25,0.04981455841376193,0.04981455841376193
2025-02-03,5.25,0.04981455841376193,0.04981455841376193
2025-02-04,4.5,-0.24075134580540444,-0.24075134580540444
2025-02-05,4.5,-0.24075134580540444,-0.24075134580540444
2025-02-06,2.75,-0.9187384556501259,-0.9187384556501259
2025-02-10,3.0,-0.8218831542437371,-0.8218831542437371
2025-02-11,3.5,-0.6281725514309596,-0.6281725514309596
2025-02-14,2.75,-0.9187384556501259,-0.9187384556501259
2025-02-17,2.0,-1.2093043598692923,-1.2093043598692923
2025-02-18,1.75,-1.3061596612756812,-1.3061596612756812
2025-02-19,2.5,-1.0155937570565148,-1.0155937570565148
2025-02-20,2.75,-0.9187384556501259,-0.9187384556501259
2025-02-21,3.0,-0.8218831542437371,-0.8218831542437371
2025-02-24,2.5,-1.0155937570565148,-1.0155937570565148
2025-02-25,5.75,0.2435251612265395,0.2435251612265395
2025-02-26,3.75,-0.5313172500245708,-0.5313172500245708
2025-03-03,4.25,-0.33760664721179323,-0.33760664721179323
2025-03-04,5.75,0.2435251612265395,0.2435251612265395
2025-03-05,5.0,-0.04704074299262686,-0.04704074299262686
2025-03-06,5.25,0.04981455841376193,0.04981455841376193
2025-03-10,6.5,0.5340910654457058,0.5340910654457058
2025-03-11,5.75,0.2435251612265395,0.2435251612265395
2025-03-14,2.75,-0.9187384556501259,-0.9187384556501259
2025-03-17,3.0059814453127274,-0.819565815489297,-0.819565815489297
2025-03-18,3.75,-0.5313172500245708,-0.5313172500245708
2025-03-19,3.25,-0.7250278528373484,-0.7250278528373484
2025-03-20,5.25,0.04981455841376193,0.04981455841376193
2025-03-21,4.5,-0.24075134580540444,-0.24075134580540444
2025-03-24,2.25,-1.1124490584629034,-1.1124490584629034
2025-03-25,4.75,-0.14389604439901565,-0.14389604439901565
2025-03-26,3.25,-0.7250278528373484,-0.7250278528373484
2025-03-31,3.5,-0.6281725514309596,-0.6281725514309596
2025-04-01,4.5,-0.24075134580540444,-0.24075134580540444
2025-04-02,6.25,0.4372357640393171,0.4372357640393171
2025-04-03,5.25,0.04981455841376193,0.04981455841376193
2025-04-04,15.0,3.827171313262925,3.827171313262925
2025-04-07,16.0,4.21459251888848,4.21459251888848
2025-04-08,6.0,0.3403804626329283,0.3403804626329283
2025-04-09,15.5,4.0208819160757026,4.0208819160757026
2025-04-14,6.75,0.6309463668520947,0.6309463668520947
2025-04-15,5.25,0.04981455841376193,0.04981455841376193
2025-04-16,5.5,0.1466698598201507,0.1466698598201507
2025-04-17,3.5,-0.6281725514309596,-0.6281725514309596
2025-04-21,3.75,-0.5313172500245708,-0.5313172500245708
