Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,4.25,-0.04330490478914004,-0.04330490478914004
2024-10-01,5.75,0.6313399277153544,0.6313399277153544
2024-10-02,4.25,-0.04330490478914004,-0.04330490478914004
2024-10-03,2.75,-0.7179497372936345,-0.7179497372936345
2024-10-07,6.0,0.7437807331327702,0.7437807331327702
2024-10-08,3.75,-0.26818651562397156,-0.26818651562397156
2024-10-09,2.0,-1.0552721535458818,-1.0552721535458818
2024-10-14,3.5,-0.3806273210413873,-0.3806273210413873
2024-10-15,3.5,-0.3806273210413873,-0.3806273210413873
2024-10-16,3.5,-0.3806273210413873,-0.3806273210413873
2024-10-17,1.75,-1.1677129589632975,-1.1677129589632975
2024-10-18,2.75,-0.7179497372936345,-0.7179497372936345
2024-10-21,6.5,0.9686623439676016,0.9686623439676016
2024-10-22,2.0,-1.0552721535458818,-1.0552721535458818
2024-10-23,2.0,-1.0552721535458818,-1.0552721535458818
2024-10-24,4.25,-0.04330490478914004,-0.04330490478914004
2024-10-25,3.0,-0.6055089318762188,-0.6055089318762188
2024-10-28,4.25,-0.04330490478914004,-0.04330490478914004
2024-10-29,5.25,0.406458316880523,0.406458316880523
2024-11-04,4.25,-0.04330490478914004,-0.04330490478914004
2024-11-05,3.5,-0.3806273210413873,-0.3806273210413873
2024-11-06,10.25,2.655274425228838,2.655274425228838
2024-11-07,5.25,0.406458316880523,0.406458316880523
2024-11-08,5.5,0.5188991222979387,0.5188991222979387
2024-11-11,3.5,-0.3806273210413873,-0.3806273210413873
2024-11-12,5.0,0.2940175114631072,0.2940175114631072
2024-11-15,5.25,0.406458316880523,0.406458316880523
2024-11-18,4.75,0.18157670604569146,0.18157670604569146
2024-11-19,7.75,1.5308663710546804,1.5308663710546804
2024-11-20,3.5,-0.3806273210413873,-0.3806273210413873
2024-11-21,4.0,-0.15574571020655578,-0.15574571020655578
2024-11-22,4.25,-0.04330490478914004,-0.04330490478914004
2024-11-25,4.25,-0.04330490478914004,-0.04330490478914004
2024-11-26,2.5,-0.8303905427110503,-0.8303905427110503
2024-11-28,4.75,0.18157670604569146,0.18157670604569146
2024-12-02,5.5,0.5188991222979387,0.5188991222979387
2024-12-03,4.75,0.18157670604569146,0.18157670604569146
2024-12-04,3.5,-0.3806273210413873,-0.3806273210413873
2024-12-05,5.25,0.406458316880523,0.406458316880523
2024-12-09,5.75,0.6313399277153544,0.6313399277153544
2024-12-10,6.75,1.0811031493850174,1.0811031493850174
2024-12-13,3.75,-0.26818651562397156,-0.26818651562397156
2024-12-16,2.25,-0.942831348128466,-0.942831348128466
2024-12-17,4.75,0.18157670604569146,0.18157670604569146
2024-12-18,3.25,-0.49306812645880305,-0.49306812645880305
2024-12-23,3.0,-0.6055089318762188,-0.6055089318762188
2024-12-26,1.75,-1.1677129589632975,-1.1677129589632975
2024-12-27,4.5,0.06913590062827571,0.06913590062827571
2024-12-30,3.5,-0.3806273210413873,-0.3806273210413873
2024-12-31,2.5,-0.8303905427110503,-0.8303905427110503
