Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,6.75,0.43086083166605516,0.43086083166605516
2022-12-21,7.75,0.7728643454444408,0.7728643454444408
2022-12-27,7.0,0.5163617101106516,0.5163617101106516
2022-12-28,4.5,-0.3386470743353127,-0.3386470743353127
2022-12-29,4.5,-0.3386470743353127,-0.3386470743353127
2022-12-30,6.0,0.17435819633226587,0.17435819633226587
2023-01-03,5.5,0.003356439443073013,0.003356439443073013
2023-01-04,3.0,-0.8516523450028912,-0.8516523450028912
2023-01-05,2.0,-1.193655858781277,-1.193655858781277
2023-01-09,4.75,-0.2531461958907163,-0.2531461958907163
2023-01-10,4.25,-0.42414795277990913,-0.42414795277990913
2023-01-11,3.5,-0.6806505881136984,-0.6806505881136984
2023-01-13,6.5,0.34535995322145874,0.34535995322145874
2023-01-17,7.0,0.5163617101106516,0.5163617101106516
2023-01-19,6.5,0.34535995322145874,0.34535995322145874
2023-01-20,3.75,-0.595149709669102,-0.595149709669102
2023-01-23,6.25,0.2598590747768623,0.2598590747768623
2023-01-24,8.5,1.0293669807782302,1.0293669807782302
2023-01-25,4.25,-0.42414795277990913,-0.42414795277990913
2023-01-30,3.75,-0.595149709669102,-0.595149709669102
2023-01-31,6.75,0.43086083166605516,0.43086083166605516
2023-02-01,3.75,-0.595149709669102,-0.595149709669102
2023-02-02,10.5,1.7133740083350015,1.7133740083350015
2023-02-06,5.25,-0.08214443900152342,-0.08214443900152342
2023-02-07,4.5,-0.3386470743353127,-0.3386470743353127
2023-02-08,4.0,-0.5096488312245055,-0.5096488312245055
2023-02-09,3.5,-0.6806505881136984,-0.6806505881136984
2023-02-10,4.25,-0.42414795277990913,-0.42414795277990913
2023-02-13,4.0,-0.5096488312245055,-0.5096488312245055
2023-02-15,6.25,0.2598590747768623,0.2598590747768623
2023-02-17,2.75,-0.9371532234474876,-0.9371532234474876
2023-02-21,8.5,1.0293669807782302,1.0293669807782302
2023-02-22,5.5,0.003356439443073013,0.003356439443073013
2023-02-27,17.25,4.0218977263391045,4.0218977263391045
2023-02-28,13.5,2.7393845496701585,2.7393845496701585
2023-03-01,11.75,2.1408784005579835,2.1408784005579835
2023-03-02,15.25,3.3378906987823336,3.3378906987823336
2023-03-03,12.25,2.3118801574471766,2.3118801574471766
2023-03-06,12.0,2.2263792790025803,2.2263792790025803
2023-03-07,4.25,-0.42414795277990913,-0.42414795277990913
2023-03-08,9.25,1.2858696161120193,1.2858696161120193
2023-03-09,8.75,1.1148678592228265,1.1148678592228265
2023-03-13,24.5,6.501423201232401,6.501423201232401
2023-03-16,12.5,2.397381035891773,2.397381035891773
2023-03-17,10.75,1.798874886779598,1.798874886779598
2023-03-20,17.5,4.107398604783701,4.107398604783701
2023-03-21,7.75,0.7728643454444408,0.7728643454444408
2023-03-22,6.25,0.2598590747768623,0.2598590747768623
2023-03-23,7.25,0.601862588555248,0.601862588555248
2023-03-24,5.25,-0.08214443900152342,-0.08214443900152342
2023-03-27,6.75,0.43086083166605516,0.43086083166605516
2023-03-28,7.25,0.601862588555248,0.601862588555248
2023-03-29,9.0,1.200368737667423,1.200368737667423
2023-04-03,7.0,0.5163617101106516,0.5163617101106516
2023-04-04,4.5,-0.3386470743353127,-0.3386470743353127
2023-04-05,11.0,1.8843757652241944,1.8843757652241944
2023-04-06,8.5,1.0293669807782302,1.0293669807782302
2023-04-10,8.5,1.0293669807782302,1.0293669807782302
2023-04-11,5.5,0.003356439443073013,0.003356439443073013
2023-04-14,14.0,2.910386306559351,2.910386306559351
2023-04-17,4.25,-0.42414795277990913,-0.42414795277990913
2023-04-18,4.75,-0.2531461958907163,-0.2531461958907163
2023-04-19,3.5,-0.6806505881136984,-0.6806505881136984
2023-04-20,6.0,0.17435819633226587,0.17435819633226587
2023-04-21,8.25,0.9438661023336338,0.9438661023336338
2023-04-24,3.0,-0.8516523450028912,-0.8516523450028912
2023-04-25,5.0,-0.16764531744611985,-0.16764531744611985
2023-04-26,8.5,1.0293669807782302,1.0293669807782302
2023-05-01,5.75,0.08885731788766944,0.08885731788766944
2023-05-02,5.0,-0.16764531744611985,-0.16764531744611985
2023-05-03,4.0,-0.5096488312245055,-0.5096488312245055
2023-05-04,8.75,1.1148678592228265,1.1148678592228265
2023-05-08,6.25,0.2598590747768623,0.2598590747768623
2023-05-09,4.75,-0.2531461958907163,-0.2531461958907163
2023-05-12,4.25,-0.42414795277990913,-0.42414795277990913
2023-05-15,5.25,-0.08214443900152342,-0.08214443900152342
2023-05-16,2.25,-1.1081549803366806,-1.1081549803366806
2023-05-17,5.0,-0.16764531744611985,-0.16764531744611985
2023-05-18,6.25,0.2598590747768623,0.2598590747768623
2023-05-19,6.0,0.17435819633226587,0.17435819633226587
2023-05-22,6.0,0.17435819633226587,0.17435819633226587
2023-05-23,2.25,-1.1081549803366806,-1.1081549803366806
2023-05-24,3.75,-0.595149709669102,-0.595149709669102
2023-05-30,19.75,4.876906510785069,4.876906510785069
2023-05-31,4.25,-0.42414795277990913,-0.42414795277990913
2023-06-01,10.0,1.5423722514458087,1.5423722514458087
2023-06-05,3.0,-0.8516523450028912,-0.8516523450028912
2023-06-06,8.5,1.0293669807782302,1.0293669807782302
2023-06-07,4.5,-0.3386470743353127,-0.3386470743353127
2023-06-08,10.75,1.798874886779598,1.798874886779598
2023-06-09,8.25,0.9438661023336338,0.9438661023336338
2023-06-12,8.75,1.1148678592228265,1.1148678592228265
2023-06-15,10.25,1.6278731298904052,1.6278731298904052
2023-06-16,7.25,0.601862588555248,0.601862588555248
2023-06-20,6.5,0.34535995322145874,0.34535995322145874
2023-06-21,5.5,0.003356439443073013,0.003356439443073013
2023-06-22,9.75,1.4568713730012124,1.4568713730012124
2023-06-23,6.5,0.34535995322145874,0.34535995322145874
2023-06-26,6.75,0.43086083166605516,0.43086083166605516
2023-06-27,5.5,0.003356439443073013,0.003356439443073013
2023-06-28,2.75,-0.9371532234474876,-0.9371532234474876
