Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-13,1.875,-0.8039867884541014,-0.8039867884541014
2025-01-16,6.25,1.0719823846054686,1.0719823846054686
2025-01-17,2.5,-0.5359911923027343,-0.5359911923027343
2025-01-20,1.875,-0.8039867884541014,-0.8039867884541014
2025-01-21,1.875,-0.8039867884541014,-0.8039867884541014
2025-01-22,3.0,-0.3215947153816406,-0.3215947153816406
2025-01-23,2.125,-0.6967885499935546,-0.6967885499935546
2025-01-24,2.375,-0.5895903115330077,-0.5895903115330077
2025-01-27,3.25,-0.2143964769210937,-0.2143964769210937
2025-01-28,2.375,-0.5895903115330077,-0.5895903115330077
2025-01-29,5.375,0.6967885499935546,0.6967885499935546
2025-02-03,4.125,0.1607973576908203,0.1607973576908203
2025-02-04,1.75,-0.8575859076843748,-0.8575859076843748
2025-02-05,1.75,-0.8575859076843748,-0.8575859076843748
2025-02-06,2.25,-0.6431894307632812,-0.6431894307632812
2025-02-10,2.5,-0.5359911923027343,-0.5359911923027343
2025-02-11,1.5,-0.9647841461449217,-0.9647841461449217
2025-02-14,1.875,-0.8039867884541014,-0.8039867884541014
2025-02-17,0.5,-1.393577099987109,-1.393577099987109
2025-02-18,2.5,-0.5359911923027343,-0.5359911923027343
2025-02-19,2.0,-0.750387669223828,-0.750387669223828
2025-02-20,1.125,-1.125581503835742,-1.125581503835742
2025-02-21,4.25,0.2143964769210937,0.2143964769210937
2025-02-24,2.375,-0.5895903115330077,-0.5895903115330077
2025-02-25,2.75,-0.4287929538421874,-0.4287929538421874
2025-02-26,7.875,1.7687709345990232,1.7687709345990232
2025-03-03,6.125,1.0183832653751952,1.0183832653751952
2025-03-04,12.5,3.75193834611914,3.75193834611914
2025-03-05,7.5,1.6079735769082029,1.6079735769082029
2025-03-06,7.0,1.393577099987109,1.393577099987109
2025-03-10,5.5,0.750387669223828,0.750387669223828
2025-03-11,7.375,1.5543744576779295,1.5543744576779295
2025-03-14,4.0,0.10719823846054685,0.10719823846054685
2025-03-17,4.375,0.26799559615136714,0.26799559615136714
2025-03-18,4.375,0.26799559615136714,0.26799559615136714
2025-03-19,7.375,1.5543744576779295,1.5543744576779295
2025-03-20,3.625,-0.053599119230273426,-0.053599119230273426
2025-03-21,3.25,-0.2143964769210937,-0.2143964769210937
